Sample	Reads passing filters
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	22589065.0
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	22589065.0
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	15646565.0
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	15646565.0
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	18637508.0
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	18637508.0
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	23126763.0
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	23126763.0
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	20618267.0
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	20618267.0
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	19964766.0
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	19964766.0
