.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
S1E11_val_1	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
S1E11_val_2	1	1	0.25	1	0.25	1	1	0.5	1	0.5	1
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
S1E12_val_1	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
S1E12_val_2	1	1	0.25	1	0.25	1	1	0.5	1	0.5	0.5
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
S1E13_val_1	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
S1E13_val_2	1	1	0.25	1	0.25	0.5	1	0.5	1	0.5	0.5
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
S1S21_val_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
S1S21_val_2	1	1	0.25	1	0.25	1	1	0.5	1	0.5	1
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	1	1	1	1	0.5	0.25
S1S22_val_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
S1S22_val_2	1	1	0.25	1	0.25	1	1	0.5	1	0.5	0.5
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
S1S23_val_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
S1S23_val_2	1	1	0.25	1	0.25	1	1	0.5	1	0.5	0.5
