Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1 - illumina_universal_adapter	(1, 0.014462750007581102)	(2, 0.02224084972087158)	(3, 0.03816005664687759)	(4, 0.05792183076191954)	(5, 0.0702242434558491)	(6, 0.08225218706484752)	(7, 0.10865434226693314)	(8, 0.1569166320075665)	(9, 0.2276543982674803)	(10, 0.34810869772609004)	(12, 0.49831854483574245)	(14, 0.6285275641112194)	(16, 0.724091501795227)	(18, 0.8137853425982882)	(20, 0.9317428587681694)	(22, 1.1629542878379429)	(24, 1.4727767616765015)	(26, 1.8524449772489477)	(28, 2.401861254549491)	(30, 3.1269532404284996)	(32, 4.024903199844704)	(34, 4.961057485115033)	(36, 5.9475015898179056)	(38, 7.04101519916827)	(40, 8.192709614142949)	(42, 9.378168153484882)	(44, 10.586708657485381)	(46, 11.819212083368656)	(48, 13.079799894329401)	(50, 14.339174729011582)	(52, 15.606358651852124)	(54, 16.877644116744097)	(56, 18.146625369398866)	(58, 19.413382094389476)	(60, 20.68156871477416)	(62, 21.9551428976808)	(64, 23.22390723122006)	(66, 24.477617820834993)	(68, 25.722702555417854)	(70, 26.963355942355292)	(72, 28.1984911726094)	(74, 29.42402219835128)	(76, 30.63901715276839)	(78, 31.843334374397525)	(80, 33.042821825516015)	(82, 34.240613765996954)	(84, 35.42843406754551)	(86, 36.60764400828454)	(88, 37.77671630056401)	(90, 38.93472350449211)	(92, 40.08642455984787)	(94, 41.22823366084431)	(96, 42.35536973309874)	(98, 43.47585214350395)	(100, 44.584747088912266)	(102, 45.68368588961074)	(104, 46.77191818253655)	(106, 47.84944175422932)	(108, 48.90701319421587)	(110, 49.95136142199777)	(112, 50.98555872055793)	(114, 52.00394748521021)	(116, 53.006124866168655)	(118, 53.996347347710056)	(120, 54.969495196016304)	(122, 55.93071027950913)	(124, 56.876045998362486)	(126, 57.810945251607365)	(128, 58.72749491844837)	(130, 59.628583564658385)	(132, 60.51881076087036)	(134, 61.389420057890845)	(136, 62.24901517614828)	(138, 63.09222847426398)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1 - polya	(1, 0.025994878495413598)	(2, 0.057403881037130136)	(3, 0.07331866104241146)	(4, 0.0938153039977529)	(5, 0.10637890501443951)	(6, 0.11897792139692369)	(7, 0.12959810421546886)	(8, 0.14083805593547144)	(9, 0.15045775467023537)	(10, 0.16981225207860529)	(12, 0.18697321026788846)	(14, 0.20506603526972011)	(16, 0.2286991515585085)	(18, 0.24837681417978125)	(20, 0.2678486249873556)	(22, 0.2899765882297475)	(24, 0.3139417235728881)	(26, 0.33478366634475576)	(28, 0.3554241842236498)	(30, 0.37565521193550955)	(32, 0.3929777527312441)	(34, 0.4189261485590484)	(36, 0.44607202644288285)	(38, 0.46394350540847973)	(40, 0.48563984388021375)	(42, 0.5067075596090409)	(44, 0.5278173310847527)	(46, 0.5502795268418591)	(48, 0.5696185300276926)	(50, 0.5893603829994734)	(52, 0.6118092979944056)	(54, 0.6410314016981226)	(56, 0.664697719892346)	(58, 0.6862391161387158)	(60, 0.7112711393765081)	(62, 0.7327018626047603)	(64, 0.7524503559576281)	(66, 0.7732568833636984)	(68, 0.790694524098275)	(70, 0.8138938021560431)	(72, 0.8350788312840749)	(74, 0.848428210729395)	(76, 0.8633270124283585)	(78, 0.8806008570961215)	(80, 0.8960419565838604)	(82, 0.9111576773983341)	(84, 0.9301403134658296)	(86, 0.9526644861130817)	(88, 0.9683645604632153)	(90, 0.982258451157673)	(92, 0.9949437924942888)	(94, 1.0097186404129608)	(96, 1.0232074678611087)	(98, 1.0361385032979453)	(100, 1.0463580497909053)	(102, 1.0586626759451974)	(104, 1.0706485638073113)	(106, 1.0800690511094637)	(108, 1.0900185554382176)	(110, 1.1005302786990077)	(112, 1.1108604982100854)	(114, 1.1194752859403434)	(116, 1.127886435317265)	(118, 1.1384933373736363)	(120, 1.148276832175214)	(122, 1.1562984125283626)	(124, 1.1642270275462927)	(126, 1.174909187254984)	(128, 1.1842544169048166)	(130, 1.1924973432942)	(132, 1.200875290765687)	(134, 1.2093683381760156)	(136, 1.21756478189779)	(138, 1.2259781447350742)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0032050906046797423)	(4, 0.003904544079181675)	(5, 0.00416130548121403)	(6, 0.004329528468752469)	(7, 0.0044579091697686465)	(8, 0.004586289870784825)	(9, 0.0046881090474528275)	(10, 0.004792141684483178)	(12, 0.004951510830572226)	(14, 0.005121947278473014)	(16, 0.005285743345286757)	(18, 0.005414124046302935)	(20, 0.005591200875290766)	(22, 0.005761637323191553)	(24, 0.005954208374715819)	(26, 0.006126858282978955)	(28, 0.006399113907547745)	(30, 0.006713425279001145)	(32, 0.007076432778426199)	(34, 0.007437226817488905)	(36, 0.007935255399017179)	(38, 0.008351385947138582)	(40, 0.008798504940332855)	(42, 0.009347443110195131)	(44, 0.010038042743247672)	(46, 0.01273625092494975)	(48, 0.015416751423753042)	(50, 0.019126510991048104)	(52, 0.022575082235586113)	(54, 0.03017610511988876)	(56, 0.040023790271974516)	(58, 0.047642520839175945)	(60, 0.053094273711638794)	(62, 0.05766949628061188)	(64, 0.06348204319213743)	(66, 0.07781862595906472)	(68, 0.10242787826764853)	(70, 0.1490123650536222)	(72, 0.21688148668393314)	(74, 0.317281835259671)	(76, 0.4563889651917864)	(78, 0.6564924223291224)	(80, 0.9269639978458604)	(82, 1.2553684714263293)	(84, 1.6270106797249024)	(86, 2.0341147364886507)	(88, 2.493810611461785)	(90, 3.013466914190561)	(92, 3.620694349234906)	(94, 4.35043017495412)	(96, 5.158934201127847)	(98, 6.060067116545107)	(100, 7.098901614564392)	(102, 8.25459132549311)	(104, 9.415316658746168)	(106, 10.496986041697609)	(108, 11.541495852085955)	(110, 12.560887314282375)	(112, 13.493004247851783)	(114, 14.36731223713775)	(116, 15.179734088152829)	(118, 15.987246484084224)	(120, 16.79158477785601)	(122, 17.625147388791877)	(124, 18.484890808893596)	(126, 19.343171131695797)	(128, 20.248155468143548)	(130, 21.20695123946033)	(132, 22.211786986313953)	(134, 23.271224373385973)	(136, 24.365475065037)	(138, 25.49191832419801)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2 - illumina_universal_adapter	(1, 0.014568996104973801)	(2, 0.022355949659713673)	(3, 0.038337133475865426)	(4, 0.05810333451163207)	(5, 0.07028622034599484)	(6, 0.08243811773528475)	(7, 0.1088933959860667)	(8, 0.15723094337901988)	(9, 0.22816792107154502)	(10, 0.34875724161225796)	(12, 0.49933895006278484)	(14, 0.629665282737466)	(16, 0.7253996568693746)	(18, 0.8149119939227232)	(20, 0.9325574121815134)	(22, 1.1629100186306958)	(24, 1.4716191219069934)	(26, 1.8503598975876159)	(28, 2.397846037452192)	(30, 3.1196820231381865)	(32, 4.013962065273618)	(34, 4.946698767744481)	(36, 5.928715951722658)	(38, 7.017966436415142)	(40, 8.165271559491284)	(42, 9.34522522291206)	(44, 10.547118705444426)	(46, 11.772361981339202)	(48, 13.02561881157985)	(50, 14.279116908999995)	(52, 15.540178400478284)	(54, 16.80447818446669)	(56, 18.06610189487701)	(58, 19.325222181617523)	(60, 20.58552445619152)	(62, 21.850753893532115)	(64, 23.10995607830603)	(66, 24.35393629616808)	(68, 25.59182507111295)	(70, 26.827256905055613)	(72, 28.056389230807028)	(74, 29.27773681646407)	(76, 30.49003134923911)	(78, 31.69337686176918)	(80, 32.89420788332762)	(82, 34.09401185927793)	(84, 35.2839947116005)	(86, 36.46668863894986)	(88, 37.63898594297728)	(90, 38.800350966275055)	(92, 39.95371433036294)	(94, 41.09756645527382)	(96, 42.22443691228477)	(98, 43.3429139276017)	(100, 44.44884062266411)	(102, 45.54439946938928)	(104, 46.62893528350996)	(106, 47.7037208047345)	(108, 48.759727328244885)	(110, 49.80376345811568)	(112, 50.83794526245332)	(114, 51.858166772285614)	(116, 52.86167886984256)	(118, 53.854380426989785)	(120, 54.83103882343072)	(122, 55.796973004416074)	(124, 56.745219423645906)	(126, 57.68230557572879)	(128, 58.602235196543106)	(130, 59.505393428191915)	(132, 60.39641082975325)	(134, 61.26757349186431)	(136, 62.126092868385655)	(138, 62.9663932526645)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2 - polya	(1, 0.1820659686445632)	(2, 0.36706698572959967)	(3, 0.46176324695156706)	(4, 0.5746895677178316)	(5, 0.6472556522370447)	(6, 0.7204769210235129)	(7, 0.771421924723312)	(8, 0.8248814193947381)	(9, 0.8742150239507479)	(10, 0.9593314287244736)	(12, 1.0402466857304629)	(14, 1.1173127351663292)	(16, 1.2095077861788437)	(18, 1.293349237783857)	(20, 1.3734831432819377)	(22, 1.4634758012339155)	(24, 1.5482380523496655)	(26, 1.6292905438981207)	(28, 1.7100552855994704)	(30, 1.7918160844638766)	(32, 1.864829287976284)	(34, 1.9634588682621437)	(36, 2.0699086040081784)	(38, 2.140982816243169)	(40, 2.218369817431576)	(42, 2.2897450602758456)	(44, 2.3584907122096466)	(46, 2.4238851851548526)	(48, 2.4821146869071384)	(50, 2.540651859649791)	(52, 2.599518837986433)	(54, 2.665234262684179)	(56, 2.7242141274993013)	(58, 2.7822488447397005)	(60, 2.848444590336076)	(62, 2.904334464485361)	(64, 2.955545083428641)	(66, 3.007981959412663)	(68, 3.0539068350106566)	(70, 3.1078599313428867)	(72, 3.161385829825183)	(74, 3.199543673011698)	(76, 3.241170008586013)	(78, 3.286238275023778)	(80, 3.3308749166908855)	(82, 3.37482981256639)	(84, 3.426939096416784)	(86, 3.4835328509612946)	(88, 3.5256195862909774)	(90, 3.5659001379649844)	(92, 3.604212923376864)	(94, 3.646875158400757)	(96, 3.68688788137092)	(98, 3.725995299052882)	(100, 3.76128007068907)	(102, 3.803917957648977)	(104, 3.8474744306592594)	(106, 3.882467025527617)	(108, 3.9199143479378185)	(110, 3.9584861082120932)	(112, 3.996889645498829)	(114, 4.028150346196268)	(116, 4.057947949594196)	(118, 4.094312889887209)	(120, 4.129400663551148)	(122, 4.158733440272981)	(124, 4.187003756020889)	(126, 4.2206704881322)	(128, 4.250536708801361)	(130, 4.2766466872356155)	(132, 4.302989079007919)	(134, 4.329844993584285)	(136, 4.354201911411561)	(138, 4.380106038032119)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2 - polyg	(1, 0.44950067654415976)	(2, 0.45213026745462903)	(3, 0.453746093519143)	(4, 0.45495464287698495)	(5, 0.4560436653752601)	(6, 0.45708399174556363)	(7, 0.4582969680241303)	(8, 0.4598552441192232)	(9, 0.46105051271489106)	(10, 0.46301385205629364)	(12, 0.4655637583937184)	(14, 0.4668962615318518)	(16, 0.4675935015459914)	(18, 0.46820663006636176)	(20, 0.46886181433361673)	(22, 0.4694572351710883)	(24, 0.47006593677073394)	(26, 0.47061930186132095)	(28, 0.4711394650464727)	(30, 0.47158437057930463)	(32, 0.4720735453193835)	(34, 0.47258264120272353)	(36, 0.4730718159428024)	(38, 0.47359419258831653)	(40, 0.47415862498071526)	(42, 0.4746987093091281)	(44, 0.4751746032870329)	(46, 0.47563500304240125)	(48, 0.47616623352936477)	(50, 0.4766266332847331)	(52, 0.47716229069242133)	(54, 0.47765146543250014)	(56, 0.47818048245910133)	(58, 0.478687364882079)	(60, 0.4792031011465061)	(62, 0.47977196045962944)	(64, 0.48899102286880847)	(66, 0.5136666789882627)	(68, 0.5473311976392117)	(70, 0.5841122684803466)	(72, 0.6872484540639465)	(74, 0.8429897386191062)	(76, 0.9950500385916814)	(78, 1.1264454726213766)	(80, 1.2233994634129388)	(82, 1.3191781067520945)	(84, 1.450728483007154)	(86, 1.6953402011105818)	(88, 2.015008146640864)	(90, 2.4174882847076673)	(92, 2.9873724299788416)	(94, 3.7429813938735403)	(96, 4.6518747013211925)	(98, 5.593715366262392)	(100, 6.602327276494179)	(102, 7.707023287595126)	(104, 8.883818343078831)	(106, 10.095006145672697)	(108, 11.32657549128306)	(110, 12.58101873627793)	(112, 13.867145452899445)	(114, 15.14725819771646)	(116, 16.446056974912416)	(118, 17.757780147164127)	(120, 19.06537078891933)	(122, 20.365597248049)	(124, 21.672218394165498)	(126, 22.994218662879582)	(128, 24.303301176919007)	(130, 25.60072539522995)	(132, 26.87713944778148)	(134, 28.166207853224556)	(136, 29.431007879254853)	(138, 30.70350632042539)
S1E11_val_1 - polya	(1, 0.025831620388626648)	(2, 0.05727745001901054)	(3, 0.07326632458729528)	(4, 0.09385026850313291)	(5, 0.10649564903253676)	(6, 0.11916784903284071)	(7, 0.1298598780983529)	(8, 0.14119110455365114)	(9, 0.15089081319585912)	(10, 0.17040644818750889)	(12, 0.1877094768298992)	(14, 0.20596236173333526)	(16, 0.22979146162808672)	(18, 0.2496155205350878)	(20, 0.2692294935867046)	(22, 0.2915343535519663)	(24, 0.31567858222979406)	(26, 0.33666258325322507)	(28, 0.3574387333771802)	(30, 0.3777991817021835)	(32, 0.39520278336044934)	(34, 0.4213093033258021)	(36, 0.44858694018712664)	(38, 0.4665649255138365)	(40, 0.48831998632564577)	(42, 0.5094894886894692)	(44, 0.5306969853037344)	(46, 0.5532476904189139)	(48, 0.5726426377915131)	(50, 0.5924622267866975)	(52, 0.6149883473868851)	(54, 0.64434225828706)	(56, 0.6680976046368362)	(58, 0.6897051583586948)	(60, 0.7148104180771101)	(62, 0.7362838744444682)	(64, 0.7561235780428277)	(66, 0.7769801865794832)	(68, 0.7944731864740826)	(70, 0.8177748367744652)	(72, 0.8390136227714472)	(74, 0.8523674843237958)	(76, 0.8672947548356176)	(78, 0.8845955485220997)	(80, 0.9000368588928405)	(82, 0.9151116364946129)	(84, 0.934166870569144)	(86, 0.9567779194938486)	(88, 0.9724963643972239)	(90, 0.9863732056321246)	(92, 0.999047640588337)	(94, 1.0138430487015666)	(96, 1.0273757067265827)	(98, 1.0403205713477042)	(100, 1.050534319848831)	(102, 1.0628444569919835)	(104, 1.0748349954402427)	(106, 1.0842262801670994)	(108, 1.0941673640474086)	(110, 1.1046962413316117)	(112, 1.1150195026722474)	(114, 1.1236263178752757)	(116, 1.1320364569583699)	(118, 1.142643557699365)	(120, 1.1524192548424566)	(122, 1.160447216465224)	(124, 1.1683768400280246)	(126, 1.1790666341376284)	(128, 1.1884087498345015)	(130, 1.1966624420040115)	(132, 1.205034586836664)	(134, 1.2134916599938332)	(136, 1.2214972720575172)	(138, 1.2274958937155096)
S1E11_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0031870471252969028)	(4, 0.0038888232805165575)	(5, 0.0041480781658843275)	(6, 0.004317934814918384)	(7, 0.00444756225760227)	(8, 0.004577189700286155)	(9, 0.004671057848436555)	(10, 0.004776100776128668)	(12, 0.004937017601529354)	(14, 0.00510687425056341)	(16, 0.0052700260318724376)	(18, 0.005390713650922952)	(20, 0.00556951012359038)	(22, 0.0057371318167160935)	(24, 0.005931572980741921)	(26, 0.0061036645856843205)	(28, 0.006374094250593805)	(30, 0.006682518165945119)	(32, 0.007042346067188317)	(34, 0.007379824409348087)	(36, 0.007855870017825114)	(38, 0.008255927125418484)	(40, 0.008698448395270368)	(42, 0.00922589798963928)	(44, 0.009858390511700307)	(46, 0.010533347196019848)	(48, 0.011121140599914018)	(50, 0.011800567196050243)	(52, 0.012533632733986697)	(54, 0.01321082437421458)	(56, 0.013946124868059379)	(58, 0.014683660317812517)	(60, 0.015378731605307144)	(62, 0.016469390088578457)	(64, 0.01753322910094965)	(66, 0.018746810159179818)	(68, 0.020360448325003354)	(70, 0.022101478977602434)	(72, 0.023417868007616374)	(74, 0.024414658342737282)	(76, 0.025467322575566765)	(78, 0.026598210265188247)	(80, 0.02797941301654413)	(82, 0.029610930829634407)	(84, 0.0315665172494344)	(86, 0.03398473954226136)	(88, 0.037046629136691066)	(90, 0.040790180283165334)	(92, 0.04580318638557834)	(94, 0.05203424345803821)	(96, 0.05952581566280344)	(98, 0.06804770254131473)	(100, 0.07741216779727127)	(102, 0.08756333753296448)	(104, 0.09750889132509016)	(106, 0.10740080617541561)	(108, 0.11721896748076574)	(110, 0.1261833756291289)	(112, 0.13439460363638056)	(114, 0.1423465767582644)	(116, 0.15039241802829864)	(118, 0.1588718407445514)	(120, 0.16827653520685815)	(122, 0.17814610049810015)	(124, 0.18890741319677096)	(126, 0.20020735026935244)	(128, 0.2124169143966294)	(130, 0.22549140646043506)	(132, 0.23924756007628528)	(134, 0.2532249743270615)	(136, 0.26854336212284335)	(138, 0.28463280970700355)
S1E11_val_2 - polya	(1, 0.18006592762336665)	(2, 0.36497276974420395)	(3, 0.459873467524258)	(4, 0.5731365630472569)	(5, 0.6459871858356004)	(6, 0.7194278369837465)	(7, 0.7707513644629316)	(8, 0.8245914522949108)	(9, 0.8743415708146226)	(10, 0.9601616427390797)	(12, 1.0416973041872435)	(14, 1.1192815635894573)	(16, 1.2120769329038523)	(18, 1.2964688680028782)	(20, 1.3770859625727132)	(22, 1.467675430405574)	(24, 1.5529993421183788)	(26, 1.634608757111518)	(28, 1.7158404645561471)	(30, 1.7981650654399561)	(32, 1.8716593555299021)	(34, 1.9710254952148252)	(36, 2.078229625270307)	(38, 2.1498174979704365)	(40, 2.2277437056266267)	(42, 2.299581893388491)	(44, 2.368767188487152)	(46, 2.434568760340582)	(48, 2.493202828595957)	(50, 2.5521766101493997)	(52, 2.6113984718086685)	(54, 2.6775688113869753)	(56, 2.7368890111062107)	(58, 2.7953062886384767)	(60, 2.8619370291339017)	(62, 2.918161814920083)	(64, 2.969726717637369)	(66, 3.0225320208837854)	(68, 3.0687240895974157)	(70, 3.1229262402865463)	(72, 3.176746213515351)	(74, 3.2151271113293225)	(76, 3.2569878354925836)	(78, 3.3023596753878524)	(80, 3.3472934639250846)	(82, 3.3915277112630067)	(84, 3.443979891475905)	(86, 3.5009667972268312)	(88, 3.543305801954478)	(90, 3.583852372043634)	(92, 3.622398656594823)	(94, 3.665289695431831)	(96, 3.705541251341085)	(98, 3.744874240372011)	(100, 3.7803653401964956)	(102, 3.823263083901228)	(104, 3.86707939448429)	(106, 3.902248660657973)	(108, 3.9399188424930913)	(110, 3.97872214697374)	(112, 4.0173488899376295)	(114, 4.048723200978946)	(116, 4.078669375194832)	(118, 4.115251133502588)	(120, 4.150570141722129)	(122, 4.180089439359522)	(124, 4.208520313469552)	(126, 4.242364250789588)	(128, 4.272370768814999)	(130, 4.298600211355311)	(132, 4.325057619398273)	(134, 4.352017892520613)	(136, 4.376235874743416)	(138, 4.3950273840207625)
S1E11_val_2 - polyg	(1, 0.41913916113880123)	(2, 0.4215216241370947)	(3, 0.4231263224792849)	(4, 0.4243108491107066)	(5, 0.42534786865217766)	(6, 0.426367008546382)	(7, 0.42756047500143707)	(8, 0.4290713051954768)	(9, 0.4302334822678151)	(10, 0.43215107443717327)	(12, 0.4346318754954338)	(14, 0.4359326198340894)	(16, 0.43660981147431727)	(18, 0.4371998398341198)	(20, 0.4378211575766391)	(22, 0.43838883637735815)	(24, 0.4389699249135273)	(26, 0.43950184441971296)	(28, 0.4400047094990901)	(30, 0.4404360559894003)	(32, 0.44089869186242725)	(34, 0.44137920738272096)	(36, 0.4418284335202978)	(38, 0.4423111839964999)	(40, 0.4428565132381356)	(42, 0.44337278805296276)	(44, 0.44381977923463134)	(46, 0.44425336068084986)	(48, 0.4447674005397687)	(50, 0.4452032169418956)	(52, 0.44570831697718105)	(54, 0.44616201302657466)	(56, 0.44665146837050174)	(58, 0.44711633919943705)	(60, 0.4475834449842807)	(62, 0.4480572556368494)	(64, 0.4485757654075849)	(66, 0.4490182866774368)	(68, 0.44950997697727224)	(70, 0.4500776557779913)	(72, 0.45058722572509347)	(74, 0.45098728283268685)	(76, 0.4514476837498055)	(78, 0.4519438439614576)	(80, 0.4524869382471849)	(82, 0.4530456772242706)	(84, 0.453850261351274)	(86, 0.4550549025858708)	(88, 0.456816047841645)	(90, 0.45905547366180455)	(92, 0.4620391397994422)	(94, 0.46603747591946754)	(96, 0.470675009429279)	(98, 0.47557179782445813)	(100, 0.4813737433625162)	(102, 0.4882574075602122)	(104, 0.49635465281613833)	(106, 0.5061504645624051)	(108, 0.5175800290776704)	(110, 0.5309584751450107)	(112, 0.5465718771206938)	(114, 0.5638816106308091)	(116, 0.5821099110192534)	(118, 0.6019317349703461)	(120, 0.6229045612142354)	(122, 0.644152287034851)	(124, 0.6660883792752359)	(126, 0.6883485401223308)	(128, 0.710488013350375)	(130, 0.732736999417928)	(132, 0.7543177336688867)	(134, 0.7761085537752295)	(136, 0.797318285345403)	(138, 0.818438618679243)
