Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.05779345006090336)	(3, 0.30415601531094805)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014868255945963235)	(15, 0.016008630724644868)	(20, 0.015298552640403664)	(25, 2.656152434817466e-06)	(30, 0.027071505615659613)	(35, 0.005759423862829205)	(40, 0.0)	(45, 0.0)	(50, 3.541536579756621e-06)	(55, 0.0)	(60, 0.024882836009370024)	(65, 4.6039975536836076e-05)	(70, 0.016040504553862675)	(75, 0.0)	(80, 0.01615471910855983)	(85, 0.0)	(90, 0.0)	(95, 0.016082117608674815)	(100, 0.0)	(105, 0.0)	(110, 4.9581512116592695e-05)	(115, 0.032500681192426516)	(120, 0.0018168082654151467)	(125, 0.0)	(130, 0.004782845150961317)	(135, 0.021096048021465252)	(140, 2.6561524348174657e-05)	(145, 0.0023365287584944305)	(150, 0.0)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.023064256975664995)	(2, 0.0004338382310201861)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0812295683774428)	(8, 0.0)	(9, 0.0)	(10, 0.014512331519697696)	(15, 0.015073665067589118)	(20, 4.869612797165355e-05)	(25, 0.015989152273456205)	(30, 0.012333401139002432)	(35, 0.0064925219348388255)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.031567486303660644)	(70, 0.0)	(75, 0.032242149022104274)	(80, 0.016305234413199483)	(85, 0.0)	(90, 0.0)	(95, 3.541536579756621e-06)	(100, 0.016839121052597793)	(105, 0.03229173053422087)	(110, 0.00015140068878459557)	(115, 0.04278618880418468)	(120, 8.145534133440228e-05)	(125, 0.0159732153588473)	(130, 0.003564556567525039)	(135, 0.0035601296468003433)	(140, 0.017289781582371825)	(145, 0.018670980848476907)	(150, 0.0)
S1E11_val_1	(1, 0.0)	(2, 0.05776914031884596)	(3, 0.3037036884728931)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01487407856120333)	(15, 0.016000496339008123)	(20, 0.01534523480772022)	(25, 2.7138698124446382e-06)	(30, 0.026935363297581862)	(35, 0.005839777243689701)	(40, 0.0)	(45, 0.0)	(50, 3.153127473628503e-06)	(55, 0.0)	(60, 0.027104980621357157)	(65, 4.160560054177624e-05)	(70, 0.01604955329074524)	(75, 0.0)	(80, 0.01580098865738074)	(85, 0.0)	(90, 0.0)	(95, 0.01565133134601055)	(100, 0.0)	(105, 0.0)	(110, 6.12401338664788e-05)	(115, 0.030714410109329945)	(120, 0.0018436185712984003)	(125, 0.0)	(130, 0.0053652132569047325)	(135, 0.020203396332202445)	(140, 2.9266121928357548e-05)	(145, 0.0028964115440426445)	(150, 0.0)
S1E11_val_2	(1, 0.02297534673776449)	(2, 0.0004380513580351984)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.08116018885556223)	(8, 0.0)	(9, 0.0)	(10, 0.01449592402151172)	(15, 0.015075224592954186)	(20, 4.928626189448881e-05)	(25, 0.015934757176087427)	(30, 0.012330557314908314)	(35, 0.006539647488576089)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.031014995196232156)	(70, 0.0)	(75, 0.03215716316636438)	(80, 0.01614853499672484)	(85, 0.0)	(90, 0.0)	(95, 3.151447985563721e-06)	(100, 0.016177982846092166)	(105, 0.030703041853774274)	(110, 0.0001702499280046364)	(115, 0.03976644666468497)	(120, 8.08722574791856e-05)	(125, 0.015406753806210486)	(130, 0.003862703451965426)	(135, 0.0040020035837296615)	(140, 0.016569440163080512)	(145, 0.019646416276993355)	(150, 0.0)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.05823642441647735)	(3, 0.2961864153569809)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014854378580857842)	(15, 0.016229760333977456)	(20, 0.015185441660837379)	(25, 3.834707490110449e-06)	(30, 0.027030853097788556)	(35, 0.005686871207833797)	(40, 0.0)	(45, 0.0)	(50, 6.391179150184082e-06)	(55, 0.0)	(60, 0.023481192197776318)	(65, 5.112943320147266e-05)	(70, 0.01603546848781186)	(75, 0.0)	(80, 0.015676284219571516)	(85, 0.0)	(90, 0.0)	(95, 0.016069980855222855)	(100, 0.0)	(105, 0.0)	(110, 3.579060324103086e-05)	(115, 0.031619719727620725)	(120, 0.0017141142480793707)	(125, 0.0)	(130, 0.004852183210819755)	(135, 0.020606439816023517)	(140, 5.752061235165674e-05)	(145, 0.0023302239181571165)	(150, 0.0)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.02330863036072135)	(2, 0.00022369127025644286)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0786562418013155)	(8, 0.0)	(9, 0.0)	(10, 0.014302180702281939)	(15, 0.01512408634099561)	(20, 4.857296154139902e-05)	(25, 0.01582711604751586)	(30, 0.012259559845883105)	(35, 0.006559906279748941)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.031701526820743085)	(70, 0.0)	(75, 0.03180378568714603)	(80, 0.01633713214370055)	(85, 0.0)	(90, 0.0)	(95, 3.834707490110449e-06)	(100, 0.0162208126831672)	(105, 0.031839576290387056)	(110, 0.00013421476215386572)	(115, 0.04173567808653209)	(120, 8.947650810257715e-05)	(125, 0.01609554557182359)	(130, 0.003628911521474522)	(135, 0.0035113138251111346)	(140, 0.01674744584514237)	(145, 0.018755554334130207)	(150, 0.0)
S1E12_val_1	(1, 0.0)	(2, 0.05833215826147334)	(3, 0.2960729549976075)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01484525367941554)	(15, 0.016229537784570043)	(20, 0.015217529528479391)	(25, 3.9176497997956895e-06)	(30, 0.026896643571708175)	(35, 0.005749590937290231)	(40, 0.0)	(45, 0.0)	(50, 6.0403319609397105e-06)	(55, 0.0)	(60, 0.025148323084180815)	(65, 5.0942122769463074e-05)	(70, 0.015953527920116457)	(75, 0.0)	(80, 0.015195210395569755)	(85, 0.0)	(90, 0.0)	(95, 0.01569736717338737)	(100, 0.0)	(105, 0.0)	(110, 4.114143517731046e-05)	(115, 0.02966434621708389)	(120, 0.0017689292765241886)	(125, 0.0)	(130, 0.005386408000373932)	(135, 0.019635041155893818)	(140, 7.126038165777729e-05)	(145, 0.0027541099280317376)	(150, 0.0)
S1E12_val_2	(1, 0.023305771071403646)	(2, 0.00022576860988074386)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.07856747623849887)	(8, 0.0)	(9, 0.0)	(10, 0.014304699122043931)	(15, 0.015109725479561553)	(20, 4.914130229727311e-05)	(25, 0.015780387783503477)	(30, 0.012268465981335453)	(35, 0.006573572194242969)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.03133202889807533)	(70, 0.0)	(75, 0.031646291291565)	(80, 0.01616685941474851)	(85, 0.0)	(90, 0.0)	(95, 4.426767084631686e-06)	(100, 0.01575532605870297)	(105, 0.030241057104341895)	(110, 0.00016426620694030884)	(115, 0.03832727619535996)	(120, 9.964909567449184e-05)	(125, 0.01532255632856414)	(130, 0.00387118669087918)	(135, 0.0037498928063483977)	(140, 0.015641771233030538)	(145, 0.01957854247627853)	(150, 0.0)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 0.0)	(2, 0.058612986242581364)	(3, 0.28218364815725366)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.014823870229861202)	(15, 0.015788591479075423)	(20, 0.015013809786158105)	(25, 6.438629027013697e-06)	(30, 0.02679972022010668)	(35, 0.005704625317934136)	(40, 0.0)	(45, 0.0)	(50, 5.365524189178081e-06)	(55, 0.0)	(60, 0.021944993933738353)	(65, 3.648556448641095e-05)	(70, 0.015663038213048652)	(75, 0.0)	(80, 0.015271354947238655)	(85, 0.0)	(90, 0.0)	(95, 0.015819711519372656)	(100, 0.0)	(105, 0.0)	(110, 5.043592737827396e-05)	(115, 0.03189804130466369)	(120, 0.0017330643131045203)	(125, 0.0)	(130, 0.005016765116881506)	(135, 0.019779468370986077)	(140, 4.507040318909588e-05)	(145, 0.00239409689321126)	(150, 0.0)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 0.02242789111076438)	(2, 0.0003380280239182191)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.07574510497862698)	(8, 0.0)	(9, 0.0)	(10, 0.014116694141727532)	(15, 0.014870013737888134)	(20, 4.721661286476712e-05)	(25, 0.016262903817398765)	(30, 0.012145400554623504)	(35, 0.006374242736743561)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.031738148683826184)	(70, 0.0)	(75, 0.03183902053858273)	(80, 0.01608262220464238)	(85, 0.0)	(90, 0.0)	(95, 5.365524189178081e-06)	(100, 0.016532253131695502)	(105, 0.03147845731306997)	(110, 0.00017706229824287668)	(115, 0.04026718593494366)	(120, 8.58483870268493e-05)	(125, 0.0160439904304803)	(130, 0.0036367522954249038)	(135, 0.0036421178196140817)	(140, 0.017029100671613392)	(145, 0.018977859057122872)	(150, 0.0)
