Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.71992860262255)	(2, 39.2109149272004)	(3, 39.24255120785212)	(4, 39.37933756886352)	(5, 39.416182652978335)	(6, 39.42939754257203)	(7, 39.44861834697452)	(8, 39.463684751892124)	(9, 39.47691982824433)	(10, 39.489260011425884)	(15, 39.58567264293586)	(20, 39.60624553517376)	(25, 39.43237684251208)	(30, 39.363063747879785)	(35, 39.35474607736088)	(40, 39.33823106002838)	(45, 39.3079872230214)	(50, 39.26482938536854)	(55, 39.19088142869127)	(60, 39.097445989907065)	(65, 38.982423823208265)	(70, 38.784219833800115)	(75, 38.44732693451455)	(80, 37.996360522226134)	(85, 37.44978020117256)	(90, 36.84600197484934)	(95, 36.25660780559089)	(100, 35.66536045648636)	(105, 35.06965891682546)	(110, 34.478929800768654)	(115, 34.00657024095508)	(120, 34.00736751166992)	(125, 34.41707743104905)	(130, 34.62023420624094)	(135, 34.585960330806074)	(140, 34.452698418460436)	(145, 34.25648417054889)	(150, 34.152463592450594)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.64406463924027)	(2, 39.116415841027504)	(3, 39.24640847241796)	(4, 39.3055204365475)	(5, 39.362639223889964)	(6, 39.40474756259279)	(7, 39.39117772249538)	(8, 39.4495143557292)	(9, 39.463949658828284)	(10, 39.494950162833206)	(15, 39.51441852064262)	(20, 39.51236347321149)	(25, 39.29550856575959)	(30, 39.22135801548227)	(35, 39.1929103927055)	(40, 39.13317779199802)	(45, 39.054712817905475)	(50, 38.92960835696387)	(55, 38.77757274150125)	(60, 38.606798926825874)	(65, 38.429366279657884)	(70, 38.26854775972357)	(75, 38.07970449418779)	(80, 37.91380124852445)	(85, 37.739311441177406)	(90, 37.56261709814019)	(95, 37.41522323301119)	(100, 37.313394901471135)	(105, 37.25315770263178)	(110, 37.221379795932236)	(115, 37.18007120701985)	(120, 37.196411237029956)	(125, 37.1929558483275)	(130, 37.20893230419232)	(135, 37.23288437126548)	(140, 37.251381728283135)	(145, 37.27408818381815)	(150, 37.28688141806666)
S1E11_val_1	(1, 38.720338626215515)	(2, 39.21188338572219)	(3, 39.24410912556635)	(4, 39.379932938806995)	(5, 39.417473403801196)	(6, 39.42997342279832)	(7, 39.4497610072249)	(8, 39.464174863665455)	(9, 39.478131895118345)	(10, 39.48971450941421)	(15, 39.58624132535389)	(20, 39.60721752965761)	(25, 39.43829525791079)	(30, 39.37304128684439)	(35, 39.365957506934734)	(40, 39.35046173865215)	(45, 39.32797802961802)	(50, 39.30494830513173)	(55, 39.284217293893015)	(60, 39.250096056659174)	(65, 39.23581445116479)	(70, 39.19916214927332)	(75, 39.16939398258419)	(80, 39.120450002002535)	(85, 39.064936612142844)	(90, 38.989376162993025)	(95, 38.91520651046862)	(100, 38.87017067721503)	(105, 38.83212008261216)	(110, 38.796195747006365)	(115, 38.73249961254068)	(120, 38.62257951321415)	(125, 38.449939200187536)	(130, 38.27082578427023)	(135, 38.110602062202005)	(140, 37.991326113256434)	(145, 37.916066101848195)	(150, 38.26693057173048)
S1E11_val_2	(1, 38.64217596022422)	(2, 39.114816389879294)	(3, 39.24552126010747)	(4, 39.304464914455274)	(5, 39.361879858961764)	(6, 39.40378707020792)	(7, 39.39084050702031)	(8, 39.44935299367427)	(9, 39.464266228662986)	(10, 39.49562160515785)	(15, 39.515841948566866)	(20, 39.51954338378658)	(25, 39.317562016406285)	(30, 39.26297449260453)	(35, 39.246004577510426)	(40, 39.225350243848084)	(45, 39.20240612115879)	(50, 39.17489327610824)	(55, 39.14792407937422)	(60, 39.1208363934057)	(65, 39.07917767809634)	(70, 39.05893479299051)	(75, 39.003663907809724)	(80, 38.959341292204144)	(85, 38.913871033323396)	(90, 38.854383403219046)	(95, 38.79593236499267)	(100, 38.73101921035877)	(105, 38.67037801811445)	(110, 38.621200535698776)	(115, 38.54783649664296)	(120, 38.50763272239035)	(125, 38.44973021298836)	(130, 38.40672969776115)	(135, 38.363661995725394)	(140, 38.33417375462542)	(145, 38.376020821146895)	(150, 38.91553459425973)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.648449675695595)	(2, 39.176845524880385)	(3, 39.217992575367184)	(4, 39.35378071800424)	(5, 39.39601720888898)	(6, 39.40756990432085)	(7, 39.425622940242796)	(8, 39.442391604802715)	(9, 39.4533049266724)	(10, 39.46897975370313)	(15, 39.56867810922078)	(20, 39.5872508502665)	(25, 39.39096303885229)	(30, 39.31104205939131)	(35, 39.29734514891927)	(40, 39.2746416609652)	(45, 39.23875882022668)	(50, 39.188648473323056)	(55, 39.10330969129647)	(60, 39.00377111525757)	(65, 38.89716818995096)	(70, 38.67152732884183)	(75, 38.275345572654444)	(80, 37.72744522519799)	(85, 37.11593848234421)	(90, 36.427427080640385)	(95, 35.717754331382004)	(100, 35.05001569354041)	(105, 34.46306222483976)	(110, 33.97000095548128)	(115, 33.63383088876056)	(120, 33.582053594511)	(125, 33.73418444239998)	(130, 33.867522027997836)	(135, 33.88150620919033)	(140, 33.81419323666249)	(145, 33.69321690735315)	(150, 33.639203748554394)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.57316017924701)	(2, 39.020488522560704)	(3, 39.192467867547926)	(4, 39.27685060586781)	(5, 39.332804868033335)	(6, 39.37067183755668)	(7, 39.368322312277485)	(8, 39.42608233820011)	(9, 39.433395636678085)	(10, 39.46792582269655)	(15, 39.48873189738451)	(20, 39.48596201147025)	(25, 39.24480104099526)	(30, 39.16464228410517)	(35, 39.13265128799836)	(40, 39.06988771017792)	(45, 38.98466629576524)	(50, 38.858692729043085)	(55, 38.706201086308724)	(60, 38.53296684607771)	(65, 38.35539578175785)	(70, 38.193067577452304)	(75, 38.002443833518726)	(80, 37.83359522042058)	(85, 37.65767563679312)	(90, 37.48378356527455)	(95, 37.33914425306769)	(100, 37.23730048096819)	(105, 37.17604831475791)	(110, 37.14174435091663)	(115, 37.09951184812768)	(120, 37.112050446855264)	(125, 37.107597584517755)	(130, 37.12085260886335)	(135, 37.147223125331344)	(140, 37.1661555108102)	(145, 37.18913228558473)	(150, 37.20037848562927)
S1E12_val_1	(1, 38.648871369818146)	(2, 39.17807157226163)	(3, 39.21978380655939)	(4, 39.354872002744315)	(5, 39.39745222058909)	(6, 39.40850456162251)	(7, 39.42699075342082)	(8, 39.44325022167252)	(9, 39.45492181375018)	(10, 39.46986266430956)	(15, 39.569778484870724)	(20, 39.58899660129846)	(25, 39.399238333088746)	(30, 39.32461102769713)	(35, 39.31284778100026)	(40, 39.291961614124226)	(45, 39.265007845118)	(50, 39.23841563179134)	(55, 39.214147204674326)	(60, 39.17747542553748)	(65, 39.15905264044106)	(70, 39.11922679706085)	(75, 39.086260013422034)	(80, 39.034143897840515)	(85, 38.971252049232945)	(90, 38.88752499966782)	(95, 38.808291902121276)	(100, 38.758344849177476)	(105, 38.714446981828885)	(110, 38.67354915427255)	(115, 38.6069696852999)	(120, 38.48950369692007)	(125, 38.30640116865086)	(130, 38.11707195632096)	(135, 37.94919054275998)	(140, 37.82767961202939)	(145, 37.75660524936437)	(150, 38.14791400380693)
S1E12_val_2	(1, 38.570627581260894)	(2, 39.01893489078411)	(3, 39.19130096774747)	(4, 39.27586098794538)	(5, 39.33207504961427)	(6, 39.36978227778337)	(7, 39.367884015311496)	(8, 39.42585494379716)	(9, 39.433473795811516)	(10, 39.468395735992125)	(15, 39.489922760043186)	(20, 39.49265144940106)	(25, 39.2672878562626)	(30, 39.20738253279164)	(35, 39.187232732458725)	(40, 39.164245575369144)	(45, 39.13746130597601)	(50, 39.10735896853358)	(55, 39.077398021020436)	(60, 39.045259595694674)	(65, 39.000229264022686)	(70, 38.975825060303556)	(75, 38.91699494022901)	(80, 38.86858508398417)	(85, 38.81881208605215)	(90, 38.75675815185851)	(95, 38.69536537106866)	(100, 38.62550588775713)	(105, 38.56365830332978)	(110, 38.50950098093013)	(115, 38.434561424741055)	(120, 38.39336328771671)	(125, 38.33572026288614)	(130, 38.29086802458881)	(135, 38.25010537480424)	(140, 38.221865376918096)	(145, 38.27071729385473)	(150, 38.851240100741876)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(1, 38.66464872878928)	(2, 39.182161692432274)	(3, 39.23272424618141)	(4, 39.365679360137634)	(5, 39.40564221354057)	(6, 39.42034031588343)	(7, 39.438292930578484)	(8, 39.455715431483654)	(9, 39.46877340039237)	(10, 39.48378429133337)	(15, 39.58522250936123)	(20, 39.60561974272526)	(25, 39.42119897145047)	(30, 39.34878564237236)	(35, 39.33572707252493)	(40, 39.31388904568143)	(45, 39.285881352807465)	(50, 39.252653112207916)	(55, 39.2072546608699)	(60, 39.1406949469854)	(65, 39.07389708967529)	(70, 38.917759219741185)	(75, 38.6610600086664)	(80, 38.27424780179839)	(85, 37.814796441670204)	(90, 37.278306949620095)	(95, 36.70234806069567)	(100, 36.13597912338924)	(105, 35.58526863140716)	(110, 35.06839324227251)	(115, 34.652508886917715)	(120, 34.441755560882925)	(125, 34.36775384348594)	(130, 34.288210054691866)	(135, 34.14331911755584)	(140, 33.974507407320765)	(145, 33.769187189617845)	(150, 33.658898603826216)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(1, 38.55383133839567)	(2, 39.019854263778186)	(3, 39.17743917266193)	(4, 39.261930511310844)	(5, 39.33960248333629)	(6, 39.3785113331675)	(7, 39.36656027189901)	(8, 39.42273849057503)	(9, 39.43858223964277)	(10, 39.47194882491801)	(15, 39.49607797351449)	(20, 39.49665262115514)	(25, 39.268594213346546)	(30, 39.20842284279637)	(35, 39.18620875709349)	(40, 39.14959347569429)	(45, 39.087471908798115)	(50, 39.003704443748596)	(55, 38.896528355614926)	(60, 38.775139337297674)	(65, 38.63467570879111)	(70, 38.50452676398582)	(75, 38.333304817360776)	(80, 38.17104147185343)	(85, 38.01049131675758)	(90, 37.83842998752838)	(95, 37.68129947415717)	(100, 37.539383355328404)	(105, 37.42917003711011)	(110, 37.34252362493955)	(115, 37.24505297596653)	(120, 37.20673308899451)	(125, 37.15612771836235)	(130, 37.131172193192356)	(135, 37.12198875514902)	(140, 37.1112918958908)	(145, 37.111254981084386)	(150, 37.10930624416097)
