Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 59.0)	(1.0, 56.0)	(2.0, 43.0)	(3.0, 30.0)	(4.0, 29.5)	(5.0, 35.0)	(6.0, 48.5)	(7.0, 84.0)	(8.0, 113.5)	(9.0, 131.5)	(10.0, 174.5)	(11.0, 236.5)	(12.0, 358.5)	(13.0, 522.5)	(14.0, 767.0)	(15.0, 1191.0)	(16.0, 1862.0)	(17.0, 2873.5)	(18.0, 4501.0)	(19.0, 7035.5)	(20.0, 10493.5)	(21.0, 15333.5)	(22.0, 21962.5)	(23.0, 30501.0)	(24.0, 41173.5)	(25.0, 54179.0)	(26.0, 69351.5)	(27.0, 86450.0)	(28.0, 106163.0)	(29.0, 128065.0)	(30.0, 151564.5)	(31.0, 176008.5)	(32.0, 203146.0)	(33.0, 234984.0)	(34.0, 270634.0)	(35.0, 311051.5)	(36.0, 357166.0)	(37.0, 405542.5)	(38.0, 452972.5)	(39.0, 497009.5)	(40.0, 535480.0)	(41.0, 565209.0)	(42.0, 588112.5)	(43.0, 606544.5)	(44.0, 616385.0)	(45.0, 622412.0)	(46.0, 629224.5)	(47.0, 641026.0)	(48.0, 662184.0)	(49.0, 687574.5)	(50.0, 714737.5)	(51.0, 732767.5)	(52.0, 740325.0)	(53.0, 747566.0)	(54.0, 754343.0)	(55.0, 764354.5)	(56.0, 777452.5)	(57.0, 788155.0)	(58.0, 784715.5)	(59.0, 760153.0)	(60.0, 713692.0)	(61.0, 649613.5)	(62.0, 578617.0)	(63.0, 507623.0)	(64.0, 442931.5)	(65.0, 385487.0)	(66.0, 335227.5)	(67.0, 291268.0)	(68.0, 251218.0)	(69.0, 215569.5)	(70.0, 182496.0)	(71.0, 151735.0)	(72.0, 124912.5)	(73.0, 101730.5)	(74.0, 81198.0)	(75.0, 62725.5)	(76.0, 46375.5)	(77.0, 32975.0)	(78.0, 23102.5)	(79.0, 15701.5)	(80.0, 10213.5)	(81.0, 6696.5)	(82.0, 4581.0)	(83.0, 3004.0)	(84.0, 1948.5)	(85.0, 1323.0)	(86.0, 918.5)	(87.0, 703.5)	(88.0, 489.5)	(89.0, 349.0)	(90.0, 269.0)	(91.0, 190.0)	(92.0, 121.0)	(93.0, 93.0)	(94.0, 76.5)	(95.0, 60.5)	(96.0, 71.0)	(97.0, 133.0)	(98.0, 386.5)	(99.0, 445.0)	(100.0, 173.5)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(0.0, 106.0)	(1.0, 73.5)	(2.0, 43.5)	(3.0, 59.5)	(4.0, 77.5)	(5.0, 82.5)	(6.0, 88.0)	(7.0, 118.5)	(8.0, 143.0)	(9.0, 183.0)	(10.0, 253.5)	(11.0, 335.0)	(12.0, 441.5)	(13.0, 637.5)	(14.0, 974.0)	(15.0, 1501.0)	(16.0, 2310.0)	(17.0, 3486.5)	(18.0, 5248.5)	(19.0, 8019.0)	(20.0, 12083.5)	(21.0, 17360.5)	(22.0, 24538.5)	(23.0, 34163.0)	(24.0, 46201.5)	(25.0, 60259.5)	(26.0, 76900.0)	(27.0, 95960.0)	(28.0, 117107.0)	(29.0, 140011.0)	(30.0, 164160.5)	(31.0, 191377.5)	(32.0, 221906.5)	(33.0, 255461.0)	(34.0, 292059.0)	(35.0, 332031.0)	(36.0, 376808.5)	(37.0, 422239.5)	(38.0, 466496.5)	(39.0, 508760.0)	(40.0, 547169.5)	(41.0, 576690.0)	(42.0, 600069.5)	(43.0, 623308.0)	(44.0, 642593.0)	(45.0, 658783.0)	(46.0, 676709.5)	(47.0, 698584.5)	(48.0, 724635.5)	(49.0, 749183.0)	(50.0, 768316.0)	(51.0, 777766.0)	(52.0, 777120.0)	(53.0, 775860.0)	(54.0, 773945.5)	(55.0, 772420.5)	(56.0, 769465.0)	(57.0, 756881.5)	(58.0, 731102.0)	(59.0, 688032.5)	(60.0, 630122.0)	(61.0, 565428.0)	(62.0, 499490.5)	(63.0, 438679.0)	(64.0, 383721.0)	(65.0, 332384.0)	(66.0, 286825.5)	(67.0, 247464.0)	(68.0, 211438.0)	(69.0, 181198.0)	(70.0, 155080.0)	(71.0, 130308.5)	(72.0, 108627.5)	(73.0, 88964.0)	(74.0, 71369.5)	(75.0, 56344.0)	(76.0, 42902.5)	(77.0, 31265.0)	(78.0, 22236.5)	(79.0, 15302.0)	(80.0, 10135.5)	(81.0, 6730.5)	(82.0, 4624.0)	(83.0, 3181.0)	(84.0, 2263.0)	(85.0, 1798.0)	(86.0, 1481.5)	(87.0, 1280.5)	(88.0, 1184.0)	(89.0, 1148.5)	(90.0, 1177.5)	(91.0, 1239.5)	(92.0, 1371.5)	(93.0, 1528.5)	(94.0, 1765.0)	(95.0, 1959.5)	(96.0, 2152.0)	(97.0, 2514.0)	(98.0, 3160.0)	(99.0, 5201.0)	(100.0, 34386.0)
S1E11_val_1	(0.0, 8073.0)	(1.0, 7239.0)	(2.0, 5081.0)	(3.0, 3019.5)	(4.0, 2320.0)	(5.0, 2465.5)	(6.0, 2755.0)	(7.0, 3050.5)	(8.0, 3329.0)	(9.0, 3766.5)	(10.0, 4278.0)	(11.0, 4898.5)	(12.0, 5734.0)	(13.0, 6970.0)	(14.0, 8666.5)	(15.0, 10826.0)	(16.0, 13793.0)	(17.0, 17745.5)	(18.0, 23248.5)	(19.0, 30789.0)	(20.0, 40127.5)	(21.0, 51656.5)	(22.0, 66094.0)	(23.0, 84323.5)	(24.0, 105855.5)	(25.0, 129412.5)	(26.0, 155947.0)	(27.0, 184491.0)	(28.0, 216143.0)	(29.0, 250207.0)	(30.0, 284670.5)	(31.0, 319920.0)	(32.0, 357825.0)	(33.0, 399272.5)	(34.0, 445753.0)	(35.0, 497501.0)	(36.0, 553706.0)	(37.0, 609838.0)	(38.0, 660443.0)	(39.0, 701982.0)	(40.0, 729322.5)	(41.0, 740326.5)	(42.0, 742185.0)	(43.0, 740089.5)	(44.0, 729667.0)	(45.0, 719748.0)	(46.0, 713674.0)	(47.0, 714064.0)	(48.0, 726896.5)	(49.0, 743154.5)	(50.0, 762649.5)	(51.0, 772452.0)	(52.0, 772208.5)	(53.0, 772812.0)	(54.0, 771788.0)	(55.0, 776032.0)	(56.0, 787939.5)	(57.0, 803175.0)	(58.0, 813423.0)	(59.0, 814566.0)	(60.0, 799554.0)	(61.0, 767952.5)	(62.0, 727624.0)	(63.0, 682180.5)	(64.0, 633287.0)	(65.0, 582858.5)	(66.0, 532111.5)	(67.0, 484820.0)	(68.0, 439791.5)	(69.0, 396589.5)	(70.0, 357147.5)	(71.0, 320006.5)	(72.0, 285352.5)	(73.0, 254873.5)	(74.0, 228454.5)	(75.0, 204196.5)	(76.0, 181666.5)	(77.0, 161762.0)	(78.0, 145541.5)	(79.0, 131157.5)	(80.0, 117061.5)	(81.0, 105204.5)	(82.0, 96504.5)	(83.0, 86999.0)	(84.0, 76104.0)	(85.0, 65367.5)	(86.0, 55637.0)	(87.0, 47705.5)	(88.0, 39634.0)	(89.0, 31976.0)	(90.0, 26322.5)	(91.0, 21772.0)	(92.0, 18251.5)	(93.0, 14189.5)	(94.0, 10125.0)	(95.0, 7544.5)	(96.0, 5890.5)	(97.0, 5242.0)	(98.0, 3750.5)	(99.0, 2011.0)	(100.0, 1539.5)
S1E11_val_2	(0.0, 7370.0)	(1.0, 6787.0)	(2.0, 4918.5)	(3.0, 2942.5)	(4.0, 2336.5)	(5.0, 2488.5)	(6.0, 2705.0)	(7.0, 2982.5)	(8.0, 3249.5)	(9.0, 3662.0)	(10.0, 4203.0)	(11.0, 4846.5)	(12.0, 5647.5)	(13.0, 6839.5)	(14.0, 8518.5)	(15.0, 10738.5)	(16.0, 13781.0)	(17.0, 17810.5)	(18.0, 23262.5)	(19.0, 30901.5)	(20.0, 40821.0)	(21.0, 52731.0)	(22.0, 67768.5)	(23.0, 87062.5)	(24.0, 109858.5)	(25.0, 134515.5)	(26.0, 162707.5)	(27.0, 193574.5)	(28.0, 226823.0)	(29.0, 262158.0)	(30.0, 297748.5)	(31.0, 336105.5)	(32.0, 377553.0)	(33.0, 421141.0)	(34.0, 469238.0)	(35.0, 521347.0)	(36.0, 577334.5)	(37.0, 631677.5)	(38.0, 680078.5)	(39.0, 719638.5)	(40.0, 745151.0)	(41.0, 751859.5)	(42.0, 746703.5)	(43.0, 740760.0)	(44.0, 731588.0)	(45.0, 724055.5)	(46.0, 721025.0)	(47.0, 727045.5)	(48.0, 745999.0)	(49.0, 765463.5)	(50.0, 781310.0)	(51.0, 785980.5)	(52.0, 779683.5)	(53.0, 772045.5)	(54.0, 763852.0)	(55.0, 762356.5)	(56.0, 769171.0)	(57.0, 778264.5)	(58.0, 782461.0)	(59.0, 777560.5)	(60.0, 759784.5)	(61.0, 730042.5)	(62.0, 692966.0)	(63.0, 651106.0)	(64.0, 605407.5)	(65.0, 558037.0)	(66.0, 509969.0)	(67.0, 464848.0)	(68.0, 421162.0)	(69.0, 379464.0)	(70.0, 341981.0)	(71.0, 306052.0)	(72.0, 272899.5)	(73.0, 243719.5)	(74.0, 218908.0)	(75.0, 196986.0)	(76.0, 176636.5)	(77.0, 158347.0)	(78.0, 143188.0)	(79.0, 129604.5)	(80.0, 116169.0)	(81.0, 104765.0)	(82.0, 96173.5)	(83.0, 86806.5)	(84.0, 76117.5)	(85.0, 65643.5)	(86.0, 55991.5)	(87.0, 48117.5)	(88.0, 40301.5)	(89.0, 32814.5)	(90.0, 27269.0)	(91.0, 22828.5)	(92.0, 19486.5)	(93.0, 15644.5)	(94.0, 11887.0)	(95.0, 9547.0)	(96.0, 8089.5)	(97.0, 7765.0)	(98.0, 6981.0)	(99.0, 8132.5)	(100.0, 34036.5)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 60.0)	(1.0, 55.0)	(2.0, 39.0)	(3.0, 29.0)	(4.0, 32.0)	(5.0, 35.5)	(6.0, 50.5)	(7.0, 68.0)	(8.0, 76.0)	(9.0, 104.5)	(10.0, 129.5)	(11.0, 181.5)	(12.0, 273.5)	(13.0, 387.0)	(14.0, 568.5)	(15.0, 910.0)	(16.0, 1392.5)	(17.0, 2126.5)	(18.0, 3286.5)	(19.0, 5061.5)	(20.0, 7614.5)	(21.0, 11207.5)	(22.0, 15862.5)	(23.0, 21732.0)	(24.0, 29604.0)	(25.0, 39059.0)	(26.0, 50097.5)	(27.0, 62664.0)	(28.0, 76771.5)	(29.0, 92087.0)	(30.0, 108118.0)	(31.0, 125489.5)	(32.0, 145483.5)	(33.0, 168067.5)	(34.0, 193259.0)	(35.0, 222998.5)	(36.0, 255197.0)	(37.0, 289162.0)	(38.0, 324964.5)	(39.0, 358115.0)	(40.0, 387220.5)	(41.0, 410445.0)	(42.0, 427895.0)	(43.0, 440601.0)	(44.0, 448547.5)	(45.0, 453560.0)	(46.0, 458492.0)	(47.0, 467933.0)	(48.0, 484744.5)	(49.0, 503886.0)	(50.0, 522373.0)	(51.0, 535309.0)	(52.0, 539837.5)	(53.0, 544652.0)	(54.0, 547896.0)	(55.0, 549749.5)	(56.0, 551940.0)	(57.0, 545786.0)	(58.0, 525554.5)	(59.0, 492081.0)	(60.0, 448166.5)	(61.0, 398163.5)	(62.0, 348043.5)	(63.0, 302400.5)	(64.0, 263728.0)	(65.0, 230861.5)	(66.0, 201987.0)	(67.0, 176873.0)	(68.0, 153816.5)	(69.0, 132682.5)	(70.0, 113234.5)	(71.0, 95024.5)	(72.0, 79227.5)	(73.0, 65030.0)	(74.0, 51911.0)	(75.0, 40274.5)	(76.0, 29505.5)	(77.0, 20709.0)	(78.0, 14483.5)	(79.0, 9766.5)	(80.0, 6329.5)	(81.0, 4063.5)	(82.0, 2681.5)	(83.0, 1802.5)	(84.0, 1210.0)	(85.0, 844.0)	(86.0, 605.5)	(87.0, 415.5)	(88.0, 300.5)	(89.0, 220.5)	(90.0, 168.5)	(91.0, 127.0)	(92.0, 86.5)	(93.0, 65.5)	(94.0, 54.0)	(95.0, 46.5)	(96.0, 51.0)	(97.0, 85.5)	(98.0, 231.5)	(99.0, 262.5)	(100.0, 110.0)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(0.0, 97.0)	(1.0, 80.5)	(2.0, 53.5)	(3.0, 46.0)	(4.0, 47.0)	(5.0, 63.0)	(6.0, 78.5)	(7.0, 100.5)	(8.0, 127.5)	(9.0, 180.0)	(10.0, 218.5)	(11.0, 251.5)	(12.0, 345.5)	(13.0, 487.5)	(14.0, 715.5)	(15.0, 1082.0)	(16.0, 1642.0)	(17.0, 2457.5)	(18.0, 3767.5)	(19.0, 5823.0)	(20.0, 8675.0)	(21.0, 12571.5)	(22.0, 17913.5)	(23.0, 24878.0)	(24.0, 33442.0)	(25.0, 43737.0)	(26.0, 55879.0)	(27.0, 69340.5)	(28.0, 84258.0)	(29.0, 100761.5)	(30.0, 118703.5)	(31.0, 137783.5)	(32.0, 158369.5)	(33.0, 182325.5)	(34.0, 208084.0)	(35.0, 235555.0)	(36.0, 267550.5)	(37.0, 301073.5)	(38.0, 332540.5)	(39.0, 363016.0)	(40.0, 390799.0)	(41.0, 410817.0)	(42.0, 426232.5)	(43.0, 440037.5)	(44.0, 449440.0)	(45.0, 457361.0)	(46.0, 466737.5)	(47.0, 479602.5)	(48.0, 497386.0)	(49.0, 513387.0)	(50.0, 525333.0)	(51.0, 530314.5)	(52.0, 528307.5)	(53.0, 527746.5)	(54.0, 527091.0)	(55.0, 527527.0)	(56.0, 527324.5)	(57.0, 520126.0)	(58.0, 502681.0)	(59.0, 473332.5)	(60.0, 434572.5)	(61.0, 389809.5)	(62.0, 343724.5)	(63.0, 300743.0)	(64.0, 263456.0)	(65.0, 228598.5)	(66.0, 196155.0)	(67.0, 168230.5)	(68.0, 143549.5)	(69.0, 122703.5)	(70.0, 104582.0)	(71.0, 87657.0)	(72.0, 72538.0)	(73.0, 59128.5)	(74.0, 47002.5)	(75.0, 36586.0)	(76.0, 27547.5)	(77.0, 19805.0)	(78.0, 13918.0)	(79.0, 9506.0)	(80.0, 6241.0)	(81.0, 4056.5)	(82.0, 2743.0)	(83.0, 1961.5)	(84.0, 1410.0)	(85.0, 1089.0)	(86.0, 950.0)	(87.0, 877.0)	(88.0, 850.5)	(89.0, 822.5)	(90.0, 846.5)	(91.0, 966.5)	(92.0, 1097.5)	(93.0, 1203.5)	(94.0, 1331.5)	(95.0, 1461.0)	(96.0, 1603.0)	(97.0, 1861.0)	(98.0, 2292.5)	(99.0, 3562.0)	(100.0, 23080.0)
S1E12_val_1	(0.0, 5401.0)	(1.0, 5011.5)	(2.0, 3782.5)	(3.0, 2526.5)	(4.0, 2124.5)	(5.0, 2189.0)	(6.0, 2349.5)	(7.0, 2561.5)	(8.0, 2803.0)	(9.0, 3107.5)	(10.0, 3480.5)	(11.0, 3989.0)	(12.0, 4574.5)	(13.0, 5374.0)	(14.0, 6640.0)	(15.0, 8321.0)	(16.0, 10432.5)	(17.0, 13201.5)	(18.0, 17046.0)	(19.0, 22284.0)	(20.0, 28823.5)	(21.0, 37089.5)	(22.0, 47181.5)	(23.0, 59538.0)	(24.0, 74363.0)	(25.0, 90731.5)	(26.0, 109273.0)	(27.0, 129365.0)	(28.0, 151064.5)	(29.0, 173475.0)	(30.0, 196044.5)	(31.0, 220018.5)	(32.0, 246535.5)	(33.0, 274902.5)	(34.0, 305987.5)	(35.0, 342296.5)	(36.0, 380587.0)	(37.0, 418355.5)	(38.0, 455122.5)	(39.0, 485703.5)	(40.0, 506378.0)	(41.0, 515961.0)	(42.0, 518167.0)	(43.0, 515745.5)	(44.0, 507986.0)	(45.0, 498595.5)	(46.0, 490865.5)	(47.0, 490063.5)	(48.0, 498293.5)	(49.0, 509202.0)	(50.0, 521447.0)	(51.0, 528091.5)	(52.0, 526921.5)	(53.0, 527049.0)	(54.0, 527156.5)	(55.0, 528730.5)	(56.0, 536165.5)	(57.0, 546240.0)	(58.0, 553868.0)	(59.0, 554807.5)	(60.0, 546195.5)	(61.0, 527755.5)	(62.0, 500919.5)	(63.0, 469520.5)	(64.0, 436524.0)	(65.0, 402968.0)	(66.0, 367989.5)	(67.0, 335616.0)	(68.0, 304746.5)	(69.0, 274614.5)	(70.0, 247207.0)	(71.0, 221402.0)	(72.0, 197888.0)	(73.0, 176426.5)	(74.0, 157534.5)	(75.0, 140933.5)	(76.0, 125030.0)	(77.0, 110650.5)	(78.0, 99110.0)	(79.0, 88923.0)	(80.0, 79292.5)	(81.0, 71243.0)	(82.0, 64983.0)	(83.0, 58410.0)	(84.0, 51051.0)	(85.0, 43706.5)	(86.0, 37056.5)	(87.0, 31589.5)	(88.0, 26086.0)	(89.0, 20928.0)	(90.0, 17326.0)	(91.0, 14407.5)	(92.0, 12066.0)	(93.0, 9392.5)	(94.0, 6667.0)	(95.0, 4925.0)	(96.0, 3836.0)	(97.0, 3399.5)	(98.0, 2427.0)	(99.0, 1303.0)	(100.0, 1015.0)
S1E12_val_2	(0.0, 5072.0)	(1.0, 4775.5)	(2.0, 3596.5)	(3.0, 2324.5)	(4.0, 1996.0)	(5.0, 2138.0)	(6.0, 2326.5)	(7.0, 2558.0)	(8.0, 2819.0)	(9.0, 3187.5)	(10.0, 3613.5)	(11.0, 4065.0)	(12.0, 4606.5)	(13.0, 5372.5)	(14.0, 6579.0)	(15.0, 8206.0)	(16.0, 10295.5)	(17.0, 13017.0)	(18.0, 16888.0)	(19.0, 22335.0)	(20.0, 29166.5)	(21.0, 37786.0)	(22.0, 48536.5)	(23.0, 61841.0)	(24.0, 77244.0)	(25.0, 94525.0)	(26.0, 114334.0)	(27.0, 135591.5)	(28.0, 158290.5)	(29.0, 181947.0)	(30.0, 206840.5)	(31.0, 232914.0)	(32.0, 260165.0)	(33.0, 290461.5)	(34.0, 323192.0)	(35.0, 358251.0)	(36.0, 397406.0)	(37.0, 435759.5)	(38.0, 469762.5)	(39.0, 498658.5)	(40.0, 517592.0)	(41.0, 523079.5)	(42.0, 520858.5)	(43.0, 516254.5)	(44.0, 507812.5)	(45.0, 499621.0)	(46.0, 495704.5)	(47.0, 499399.5)	(48.0, 511834.0)	(49.0, 524444.5)	(50.0, 534674.5)	(51.0, 536152.0)	(52.0, 529865.5)	(53.0, 525066.5)	(54.0, 520602.0)	(55.0, 520079.0)	(56.0, 524020.0)	(57.0, 529615.5)	(58.0, 533078.5)	(59.0, 530333.0)	(60.0, 519900.0)	(61.0, 501205.0)	(62.0, 476058.0)	(63.0, 447821.5)	(64.0, 417824.5)	(65.0, 385992.0)	(66.0, 352524.0)	(67.0, 321298.5)	(68.0, 291751.0)	(69.0, 263274.0)	(70.0, 236608.0)	(71.0, 211462.5)	(72.0, 188895.5)	(73.0, 168497.0)	(74.0, 150894.5)	(75.0, 135797.0)	(76.0, 121675.5)	(77.0, 108459.0)	(78.0, 97439.0)	(79.0, 87892.5)	(80.0, 78674.0)	(81.0, 70871.5)	(82.0, 64760.0)	(83.0, 58297.5)	(84.0, 51104.5)	(85.0, 43937.0)	(86.0, 37455.0)	(87.0, 32089.5)	(88.0, 26631.5)	(89.0, 21535.0)	(90.0, 17980.0)	(91.0, 15171.0)	(92.0, 12980.5)	(93.0, 10455.5)	(94.0, 7944.0)	(95.0, 6392.5)	(96.0, 5444.5)	(97.0, 5232.0)	(98.0, 4715.0)	(99.0, 5378.5)	(100.0, 23034.5)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(0.0, 32.0)	(1.0, 28.0)	(2.0, 21.5)	(3.0, 27.0)	(4.0, 31.5)	(5.0, 34.5)	(6.0, 42.5)	(7.0, 66.0)	(8.0, 90.5)	(9.0, 120.5)	(10.0, 158.5)	(11.0, 207.5)	(12.0, 300.0)	(13.0, 426.5)	(14.0, 644.0)	(15.0, 964.5)	(16.0, 1472.0)	(17.0, 2246.0)	(18.0, 3424.0)	(19.0, 5320.0)	(20.0, 7980.5)	(21.0, 11677.5)	(22.0, 16640.0)	(23.0, 23011.5)	(24.0, 31092.0)	(25.0, 41053.5)	(26.0, 53002.0)	(27.0, 66645.0)	(28.0, 81896.5)	(29.0, 98754.0)	(30.0, 116702.5)	(31.0, 136155.5)	(32.0, 159349.0)	(33.0, 186520.0)	(34.0, 216297.5)	(35.0, 251251.5)	(36.0, 292362.5)	(37.0, 336860.0)	(38.0, 381907.0)	(39.0, 422778.0)	(40.0, 457487.5)	(41.0, 481673.0)	(42.0, 498573.5)	(43.0, 510679.5)	(44.0, 516829.5)	(45.0, 521120.0)	(46.0, 524636.0)	(47.0, 536201.0)	(48.0, 557694.0)	(49.0, 582718.0)	(50.0, 607865.5)	(51.0, 624775.0)	(52.0, 632462.5)	(53.0, 637120.0)	(54.0, 638303.5)	(55.0, 640805.5)	(56.0, 643758.5)	(57.0, 641239.5)	(58.0, 629015.5)	(59.0, 600949.0)	(60.0, 556458.5)	(61.0, 502996.5)	(62.0, 448348.5)	(63.0, 396252.5)	(64.0, 351528.0)	(65.0, 312155.5)	(66.0, 276550.5)	(67.0, 244610.5)	(68.0, 214470.5)	(69.0, 186000.0)	(70.0, 158136.0)	(71.0, 132275.0)	(72.0, 109163.5)	(73.0, 87956.0)	(74.0, 68583.0)	(75.0, 51016.5)	(76.0, 35721.5)	(77.0, 23939.5)	(78.0, 16096.5)	(79.0, 10720.0)	(80.0, 7009.0)	(81.0, 4635.0)	(82.0, 3116.5)	(83.0, 2105.0)	(84.0, 1437.0)	(85.0, 1051.0)	(86.0, 778.0)	(87.0, 549.5)	(88.0, 412.5)	(89.0, 299.0)	(90.0, 214.5)	(91.0, 145.5)	(92.0, 104.0)	(93.0, 89.0)	(94.0, 66.0)	(95.0, 50.0)	(96.0, 56.0)	(97.0, 112.5)	(98.0, 310.0)	(99.0, 346.0)	(100.0, 138.0)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(0.0, 63.0)	(1.0, 52.5)	(2.0, 33.5)	(3.0, 36.0)	(4.0, 43.5)	(5.0, 48.5)	(6.0, 74.0)	(7.0, 101.0)	(8.0, 123.0)	(9.0, 168.0)	(10.0, 212.5)	(11.0, 264.0)	(12.0, 363.5)	(13.0, 528.5)	(14.0, 745.5)	(15.0, 1098.0)	(16.0, 1659.0)	(17.0, 2560.0)	(18.0, 3934.0)	(19.0, 5979.0)	(20.0, 8980.0)	(21.0, 13008.0)	(22.0, 18412.5)	(23.0, 25518.5)	(24.0, 34250.5)	(25.0, 45583.0)	(26.0, 58536.0)	(27.0, 72687.0)	(28.0, 89183.0)	(29.0, 107319.0)	(30.0, 126875.5)	(31.0, 148118.0)	(32.0, 172495.5)	(33.0, 201484.5)	(34.0, 232985.0)	(35.0, 267351.0)	(36.0, 307484.5)	(37.0, 349463.0)	(38.0, 391274.5)	(39.0, 431657.0)	(40.0, 464770.5)	(41.0, 484566.0)	(42.0, 497893.0)	(43.0, 510605.5)	(44.0, 516884.0)	(45.0, 523419.0)	(46.0, 534047.5)	(47.0, 550311.5)	(48.0, 574159.0)	(49.0, 598717.0)	(50.0, 619604.5)	(51.0, 630051.0)	(52.0, 630782.5)	(53.0, 628796.0)	(54.0, 625035.5)	(55.0, 623196.0)	(56.0, 624335.0)	(57.0, 620980.0)	(58.0, 606818.5)	(59.0, 578862.5)	(60.0, 536253.5)	(61.0, 485021.0)	(62.0, 431712.0)	(63.0, 381143.5)	(64.0, 337604.0)	(65.0, 298540.5)	(66.0, 262015.5)	(67.0, 228694.5)	(68.0, 198758.5)	(69.0, 171879.0)	(70.0, 146082.5)	(71.0, 121675.5)	(72.0, 99735.5)	(73.0, 79906.0)	(74.0, 62201.0)	(75.0, 46919.5)	(76.0, 33522.5)	(77.0, 22938.5)	(78.0, 15622.5)	(79.0, 10346.5)	(80.0, 6854.5)	(81.0, 4691.5)	(82.0, 3247.0)	(83.0, 2345.0)	(84.0, 1757.5)	(85.0, 1405.0)	(86.0, 1210.5)	(87.0, 1122.0)	(88.0, 1132.0)	(89.0, 1170.0)	(90.0, 1203.5)	(91.0, 1281.0)	(92.0, 1421.0)	(93.0, 1599.5)	(94.0, 1817.0)	(95.0, 2049.0)	(96.0, 2294.5)	(97.0, 2645.0)	(98.0, 3226.5)	(99.0, 4919.0)	(100.0, 29055.5)
