Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(16.0, 14.0)	(17.0, 368.0)	(18.0, 4020.0)	(19.0, 16258.0)	(20.0, 33181.0)	(21.0, 42435.0)	(22.0, 51515.0)	(23.0, 58459.0)	(24.0, 67581.0)	(25.0, 73740.0)	(26.0, 86801.0)	(27.0, 98384.0)	(28.0, 119802.0)	(29.0, 143536.0)	(30.0, 196514.0)	(31.0, 312359.0)	(32.0, 518693.0)	(33.0, 844284.0)	(34.0, 1712325.0)	(35.0, 2164070.0)	(36.0, 1947179.0)	(37.0, 1423355.0)	(38.0, 2163445.0)	(39.0, 5552530.0)	(40.0, 4958217.0)				
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(13.0, 1.0)	(14.0, 10.0)	(15.0, 196.0)	(16.0, 1393.0)	(17.0, 6028.0)	(18.0, 18475.0)	(19.0, 35483.0)	(20.0, 50146.0)	(21.0, 55376.0)	(22.0, 62409.0)	(23.0, 67528.0)	(24.0, 76457.0)	(25.0, 83668.0)	(26.0, 97005.0)	(27.0, 106673.0)	(28.0, 122774.0)	(29.0, 129379.0)	(30.0, 149789.0)	(31.0, 168521.0)	(32.0, 205067.0)	(33.0, 251697.0)	(34.0, 340857.0)	(35.0, 449372.0)	(36.0, 761679.0)	(37.0, 1509831.0)	(38.0, 4520960.0)	(39.0, 9922980.0)	(40.0, 3395311.0)	
S1E11_val_1	(16.0, 4.0)	(17.0, 126.0)	(18.0, 1428.0)	(19.0, 7174.0)	(20.0, 17596.0)	(21.0, 25179.0)	(22.0, 31140.0)	(23.0, 35923.0)	(24.0, 41116.0)	(25.0, 43855.0)	(26.0, 47965.0)	(27.0, 51269.0)	(28.0, 58796.0)	(29.0, 64886.0)	(30.0, 76432.0)	(31.0, 86059.0)	(32.0, 105151.0)	(33.0, 128051.0)	(34.0, 168257.0)	(35.0, 226142.0)	(36.0, 336492.0)	(37.0, 501329.0)	(38.0, 1063010.0)	(39.0, 7013872.0)	(40.0, 12240554.0)				
S1E11_val_2	(13.0, 1.0)	(14.0, 12.0)	(15.0, 135.0)	(16.0, 875.0)	(17.0, 3761.0)	(18.0, 10790.0)	(19.0, 21338.0)	(20.0, 33107.0)	(21.0, 39075.0)	(22.0, 43971.0)	(23.0, 45977.0)	(24.0, 50412.0)	(25.0, 52809.0)	(26.0, 58431.0)	(27.0, 61445.0)	(28.0, 67489.0)	(29.0, 66008.0)	(30.0, 71278.0)	(31.0, 77258.0)	(32.0, 93617.0)	(33.0, 111972.0)	(34.0, 148189.0)	(35.0, 198160.0)	(36.0, 296503.0)	(37.0, 441644.0)	(38.0, 926290.0)	(39.0, 6934638.0)	(40.0, 12516621.0)	
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(16.0, 10.0)	(17.0, 328.0)	(18.0, 3584.0)	(19.0, 13194.0)	(20.0, 26065.0)	(21.0, 33955.0)	(22.0, 41639.0)	(23.0, 46955.0)	(24.0, 53783.0)	(25.0, 57930.0)	(26.0, 67401.0)	(27.0, 75201.0)	(28.0, 90965.0)	(29.0, 107142.0)	(30.0, 141171.0)	(31.0, 210355.0)	(32.0, 439967.0)	(33.0, 1211124.0)	(34.0, 1772575.0)	(35.0, 1136276.0)	(36.0, 794417.0)	(37.0, 876140.0)	(38.0, 1087441.0)	(39.0, 3928748.0)	(40.0, 3430199.0)				
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(14.0, 19.0)	(15.0, 147.0)	(16.0, 955.0)	(17.0, 4167.0)	(18.0, 13988.0)	(19.0, 27474.0)	(20.0, 38329.0)	(21.0, 42701.0)	(22.0, 48833.0)	(23.0, 52339.0)	(24.0, 58783.0)	(25.0, 64388.0)	(26.0, 74017.0)	(27.0, 81926.0)	(28.0, 92978.0)	(29.0, 97661.0)	(30.0, 110396.0)	(31.0, 124240.0)	(32.0, 150124.0)	(33.0, 180303.0)	(34.0, 242832.0)	(35.0, 315563.0)	(36.0, 528188.0)	(37.0, 1034508.0)	(38.0, 3045995.0)	(39.0, 6841870.0)	(40.0, 2373841.0)		
S1E12_val_1	(16.0, 1.0)	(17.0, 86.0)	(18.0, 1166.0)	(19.0, 5795.0)	(20.0, 13680.0)	(21.0, 19935.0)	(22.0, 24991.0)	(23.0, 28716.0)	(24.0, 33276.0)	(25.0, 35078.0)	(26.0, 38408.0)	(27.0, 40732.0)	(28.0, 46532.0)	(29.0, 50541.0)	(30.0, 58759.0)	(31.0, 65735.0)	(32.0, 81008.0)	(33.0, 97783.0)	(34.0, 128605.0)	(35.0, 169889.0)	(36.0, 251470.0)	(37.0, 375075.0)	(38.0, 786963.0)	(39.0, 4950265.0)	(40.0, 8198109.0)				
S1E12_val_2	(13.0, 1.0)	(14.0, 12.0)	(15.0, 108.0)	(16.0, 639.0)	(17.0, 2661.0)	(18.0, 8111.0)	(19.0, 16196.0)	(20.0, 24931.0)	(21.0, 29872.0)	(22.0, 33999.0)	(23.0, 35736.0)	(24.0, 39135.0)	(25.0, 41479.0)	(26.0, 45686.0)	(27.0, 48656.0)	(28.0, 52743.0)	(29.0, 50814.0)	(30.0, 54149.0)	(31.0, 59272.0)	(32.0, 70783.0)	(33.0, 84215.0)	(34.0, 110581.0)	(35.0, 147738.0)	(36.0, 218259.0)	(37.0, 326608.0)	(38.0, 682065.0)	(39.0, 4942971.0)	(40.0, 8375178.0)	
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(16.0, 13.0)	(17.0, 303.0)	(18.0, 3404.0)	(19.0, 13689.0)	(20.0, 28169.0)	(21.0, 36737.0)	(22.0, 44596.0)	(23.0, 50393.0)	(24.0, 58065.0)	(25.0, 62822.0)	(26.0, 73116.0)	(27.0, 81543.0)	(28.0, 97730.0)	(29.0, 113997.0)	(30.0, 147372.0)	(31.0, 206420.0)	(32.0, 406365.0)	(33.0, 1116461.0)	(34.0, 1733468.0)	(35.0, 1236668.0)	(36.0, 903508.0)	(37.0, 1025029.0)	(38.0, 1466844.0)	(39.0, 5386543.0)	(40.0, 4344253.0)				
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(13.0, 1.0)	(14.0, 15.0)	(15.0, 172.0)	(16.0, 1122.0)	(17.0, 4752.0)	(18.0, 15517.0)	(19.0, 30461.0)	(20.0, 43231.0)	(21.0, 47061.0)	(22.0, 52734.0)	(23.0, 57139.0)	(24.0, 64898.0)	(25.0, 70529.0)	(26.0, 81477.0)	(27.0, 89931.0)	(28.0, 102312.0)	(29.0, 107956.0)	(30.0, 123261.0)	(31.0, 137820.0)	(32.0, 166297.0)	(33.0, 199930.0)	(34.0, 266143.0)	(35.0, 345575.0)	(36.0, 570557.0)	(37.0, 1093526.0)	(38.0, 3267383.0)	(39.0, 8574941.0)	(40.0, 3122767.0)	
