Sample	Unique Reads	Duplicate Reads
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	18942488.0	3646577.0
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	19053682.0	3535383.0
S1E11_val_1	18841686.0	3530120.0
S1E11_val_2	18926108.0	3445698.0
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	13418111.0	2228454.0
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	13460151.0	2186414.0
S1E12_val_1	13346658.0	2155940.0
S1E12_val_2	13369432.0	2133166.0
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	15746266.0	2891242.0
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	15798512.0	2838996.0
S1E13_val_1	15712814.0	2874504.0
S1E13_val_2	15762267.0	2825051.0
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	19779136.0	3347627.0
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	19864146.0	3262617.0
S1S21_val_1	19610396.0	3252473.0
S1S21_val_2	19671688.0	3191181.0
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	17590490.0	3027777.0
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	17666102.0	2952165.0
S1S22_val_1	17420731.0	2903260.0
S1S22_val_2	17472864.0	2851127.0
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	16952977.0	3011789.0
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	17017316.0	2947450.0
S1S23_val_1	16858538.0	2964290.0
S1S23_val_2	16913537.0	2909291.0
