Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 74.84306200932075)	(2.0, 14.460591144141302)	(3.0, 3.055986541423088)	(4.0, 1.109358294983287)	(5.0, 0.6215988471737661)	(6.0, 0.42343914601942073)	(7.0, 0.32791043562220973)	(8.0, 0.29644435336363895)	(9.0, 0.28301615547307646)	('>10', 2.9561665037846696)	('>50', 0.5854025129478001)	('>100', 0.6808001924904025)	('>500', 0.07249530578794132)	('>1k', 0.2330433500220309)	('>5k', 0.0)	('>10k+', 0.05068520744664234)
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 75.66532845284938)	(2.0, 13.92873835562248)	(3.0, 2.919771009183518)	(4.0, 1.0430481528325908)	(5.0, 0.6521247233687539)	(6.0, 0.39943794536119925)	(7.0, 0.3592671599974717)	(8.0, 0.3068255603612444)	(9.0, 0.29244623105624706)	('>10', 2.7222941244291374)	('>50', 0.5303389425612735)	('>100', 0.5169934009433421)	('>500', 0.07353268214436048)	('>1k', 0.15383274029694358)	('>5k', 0.02880256132727393)	('>10k+', 0.4072179576646661)
S1E11_val_1	(1.0, 75.17910508876493)	(2.0, 14.550930677972831)	(3.0, 3.050950381973128)	(4.0, 1.0978891731948173)	(5.0, 0.6099927173547429)	(6.0, 0.4022993901454407)	(7.0, 0.3185986224904017)	(8.0, 0.28501811518386927)	(9.0, 0.2755864877894886)	('>10', 2.8951637103085273)	('>50', 0.5616603782656902)	('>100', 0.643033735594077)	('>500', 0.043553659149460223)	('>1k', 0.03509151214991481)	('>5k', 0.0)	('>10k+', 0.05112634966266025)
S1E11_val_2	(1.0, 75.85584322246764)	(2.0, 14.057102566810793)	(3.0, 2.9352523144911347)	(4.0, 1.041051077535902)	(5.0, 0.6363759105196275)	(6.0, 0.3851730060058063)	(7.0, 0.36198805416959723)	(8.0, 0.2953422604032662)	(9.0, 0.28596294585566245)	('>10', 2.6730870571769136)	('>50', 0.5183790221902879)	('>100', 0.47395537447747643)	('>500', 0.035039978455787456)	('>1k', 0.0428493045848161)	('>5k', 0.02908869600133898)	('>10k+', 0.37350920885385575)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 77.73192836273213)	(2.0, 12.778421734016407)	(3.0, 2.721519933199841)	(4.0, 1.1044793816916265)	(5.0, 0.5662570274752179)	(6.0, 0.42290869142860277)	(7.0, 0.3494437253995579)	(8.0, 0.31408007159343415)	(9.0, 0.239702023712003)	('>10', 2.543236275649287)	('>50', 0.4920392111896217)	('>100', 0.49043556869109534)	('>500', 0.07080291475393212)	('>1k', 0.12136376971493251)	('>5k', 0.053381308752230065)	('>10k+', 0.0)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 78.23633161509336)	(2.0, 12.400793812208112)	(3.0, 2.5887190300460463)	(4.0, 1.0555319852418417)	(5.0, 0.6118773106402039)	(6.0, 0.4429068695227815)	(7.0, 0.38991546565258134)	(8.0, 0.31627099082930504)	(9.0, 0.23091408389664106)	('>10', 2.348176663657395)	('>50', 0.4115533500765014)	('>100', 0.3692771233354192)	('>500', 0.04800233904782959)	('>1k', 0.13940245282541883)	('>5k', 0.0)	('>10k+', 0.4103269079266714)
S1E12_val_1	(1.0, 78.06253080501277)	(2.0, 12.83572208040275)	(3.0, 2.7031506973419837)	(4.0, 1.0752714517151576)	(5.0, 0.5591953033149564)	(6.0, 0.4095110247963394)	(7.0, 0.3480510064704748)	(8.0, 0.3044782795501142)	(9.0, 0.23197730382830553)	('>10', 2.461046509456445)	('>50', 0.4765894212977428)	('>100', 0.4302443032619859)	('>500', 0.021777841169796093)	('>1k', 0.026646050399536155)	('>5k', 0.05380792198156134)	('>10k+', 0.0)
S1E12_val_2	(1.0, 78.41679453788088)	(2.0, 12.479567270995213)	(3.0, 2.5975701785969103)	(4.0, 1.044124482917941)	(5.0, 0.6118219942709221)	(6.0, 0.4325168857886598)	(7.0, 0.38346093628676386)	(8.0, 0.3117127724705998)	(9.0, 0.22926154009342536)	('>10', 2.3083877966837525)	('>50', 0.391323992968107)	('>100', 0.3183289125175343)	('>500', 0.02438926173361596)	('>1k', 0.06725206894932678)	('>5k', 0.0)	('>10k+', 0.38348736784643317)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(1.0, 76.0990880315181)	(2.0, 13.177359189040933)	(3.0, 3.0333113640828717)	(4.0, 1.0988646959487678)	(5.0, 0.6404123939226766)	(6.0, 0.5033903892418203)	(7.0, 0.35746435345699423)	(8.0, 0.3220696919962687)	(9.0, 0.26614357487527684)	('>10', 2.9699277624799754)	('>50', 0.6387822033408658)	('>100', 0.7488003085082413)	('>500', 0.06334584817695586)	('>1k', 0.04938841105318283)	('>5k', 0.031651782357044)	('>10k+', 0.0)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(1.0, 76.70113787612796)	(2.0, 12.699431840399585)	(3.0, 2.8539782305144907)	(4.0, 1.0662151645928413)	(5.0, 0.6102307278844332)	(6.0, 0.44549516234131126)	(7.0, 0.3834241643702381)	(8.0, 0.3542866595195565)	(9.0, 0.26827823046704724)	('>10', 2.9005727450682826)	('>50', 0.6181692866351763)	('>100', 0.524577151988747)	('>500', 0.03423664421738923)	('>1k', 0.0921143365744779)	('>5k', 0.0)	('>10k+', 0.44785177929842135)
S1E13_val_1	(1.0, 76.14112347183321)	(2.0, 13.19914737672883)	(3.0, 3.0347686694130247)	(4.0, 1.0850267123842672)	(5.0, 0.6395157527324833)	(6.0, 0.502471826509359)	(7.0, 0.35954993475377955)	(8.0, 0.3180794415623417)	(9.0, 0.2611166115181021)	('>10', 2.9559567843992847)	('>50', 0.6358327609031991)	('>100', 0.726056881665946)	('>500', 0.06015517464842258)	('>1k', 0.049474911563232776)	('>5k', 0.03172368938460355)	('>10k+', 0.0)
