Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	(150, 22589065.0)																										
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	(150, 22589065.0)																										
S1E11_val_1	(20, 153334.0)	(25, 323195.0)	(30, 526737.0)	(35, 627121.0)	(40, 693113.0)	(45, 725704.0)	(50, 735461.0)	(55, 735505.0)	(60, 737074.0)	(65, 723207.0)	(70, 715061.0)	(75, 702294.0)	(80, 693873.0)	(85, 681572.0)	(90, 669326.0)	(95, 652526.0)	(100, 637600.0)	(105, 619427.0)	(110, 601473.0)	(115, 580980.0)	(120, 560586.0)	(125, 541543.0)	(130, 520425.0)	(135, 502226.0)	(140, 488941.0)	(145, 2627910.0)	(150, 4595592.0)
S1E11_val_2	(20, 156531.0)	(25, 323350.0)	(30, 525269.0)	(35, 624636.0)	(40, 690171.0)	(45, 722369.0)	(50, 732039.0)	(55, 732325.0)	(60, 733552.0)	(65, 720428.0)	(70, 712913.0)	(75, 701255.0)	(80, 693535.0)	(85, 680731.0)	(90, 668582.0)	(95, 651421.0)	(100, 636026.0)	(105, 617276.0)	(110, 599881.0)	(115, 579486.0)	(120, 559103.0)	(125, 538852.0)	(130, 516052.0)	(135, 497780.0)	(140, 481749.0)	(145, 2987531.0)	(150, 4288963.0)
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	(150, 15646565.0)																										
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	(150, 15646565.0)																										
S1E12_val_1	(20, 108446.0)	(25, 228386.0)	(30, 355740.0)	(35, 420898.0)	(40, 464205.0)	(45, 484044.0)	(50, 490990.0)	(55, 489737.0)	(60, 489296.0)	(65, 481044.0)	(70, 475345.0)	(75, 467572.0)	(80, 459678.0)	(85, 450503.0)	(90, 440411.0)	(95, 430850.0)	(100, 421035.0)	(105, 407321.0)	(110, 395131.0)	(115, 382890.0)	(120, 371299.0)	(125, 358057.0)	(130, 347355.0)	(135, 337346.0)	(140, 331453.0)	(145, 1933598.0)	(150, 3479968.0)
S1E12_val_2	(20, 110821.0)	(25, 228653.0)	(30, 355003.0)	(35, 419580.0)	(40, 462234.0)	(45, 481816.0)	(50, 488767.0)	(55, 487290.0)	(60, 487067.0)	(65, 479578.0)	(70, 474271.0)	(75, 467351.0)	(80, 460237.0)	(85, 450561.0)	(90, 440316.0)	(95, 430649.0)	(100, 420741.0)	(105, 406672.0)	(110, 394479.0)	(115, 382765.0)	(120, 370854.0)	(125, 356243.0)	(130, 344158.0)	(135, 333854.0)	(140, 326192.0)	(145, 2242585.0)	(150, 3199861.0)
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	(150, 18637508.0)																										
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	(150, 18637508.0)																										
