Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	22589065	17725132	22589065	3388359750	22649449	2329125956	31.26096023304491
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	22589065	18068877	22589065	3388359750	16926578	2332224922	31.169501054308064
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	15646565	11941339	15646565	2346984750	20772390	1639501992	30.144327013628867
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	15646565	12264738	15646565	2346984750	13109716	1640890783	30.085153599741115
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	18637508	13824109	18637508	2795626200	23596203	2061420463	26.262657611378803
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	18637508	14208829	18637508	2795626200	15002140	2061452341	26.26151733017812
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	23126763	18611578	23126763	3469014450	20651590	2307118593	33.493543303055425
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	23126763	18940281	23126763	3469014450	16726993	2308779950	33.445651977609955
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	20618267	16615446	20618267	3092740050	21363525	2048545817	33.76275458391662
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	20618267	16932362	20618267	3092740050	16612336	2050715359	33.69260507361425
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1	4.2	19964766	15002639	19964766	2994714900	24504862	2131519799	28.823949184611863
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2	4.2	19964766	15398223	19964766	2994714900	15036030	2133050530	28.77283476968041
