Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
S1E11	0.6047236	0.0	44.573114	99.61894448753937	97.6445620885502	18.902334035973674	44.743612	45.369192999999996	45.198695	99.62							
S1E11.filtered	0.43276499999999996	0.0	34.965545	100.0	99.07072519533158	0.0	34.965545	34.965545	34.965545	100.0							
S1E11_DKDL250003486-1A_22YL5KLT3_L6_1											31.26096023304491	16.14310753299503	52.0	150.0	150	27.27272727272727	22.589064999999998
S1E11_DKDL250003486-1A_22YL5KLT3_L6_2											31.169501054308064	15.65086187564313	53.0	150.0	150	27.27272727272727	22.589064999999998
S1E11_val_1												15.779325538182192	49.0	103.9262607587425	107	18.181818181818183	22.371806
S1E11_val_2												15.401970050460264	49.0	103.99880222008004	107	18.181818181818183	22.371806
S1E12	0.6700186	0.0	30.880467999999997	99.59771904038278	97.19989514015651	18.901441551925682	31.005195999999998	31.494697	31.369968999999998	99.6							
S1E12.filtered	0.46673499999999996	0.0	24.158875	100.0	98.85286876975853	0.0	24.158875	24.158875	24.158875	100.0							
S1E12_DKDL250003486-1A_22YL5KLT3_L6_1											30.144327013628867	14.242455053398103	51.0	150.0	150	27.27272727272727	15.646564999999999
S1E12_DKDL250003486-1A_22YL5KLT3_L6_2											30.085153599741115	13.97376677117839	52.0	150.0	150	27.27272727272727	15.646564999999999
S1E12_val_1												13.906963082162974	49.0	105.57296422186785	112	18.181818181818183	15.502597999999999
S1E12_val_2												13.760061135252641	49.0	105.59761721873973	112	18.181818181818183	15.502597999999999
S1E13	0.6972955000000001	0.0	37.048919	99.66182049502784	96.70614125179328	18.729178679785864	37.174636	37.943954	37.818236999999996	99.67							
S1E13.filtered	0.47232840000000004	0.0	29.033220999999998	100.0	98.40128658132696	0.0	29.033220999999998	29.033220999999998	29.033220999999998	100.0							
S1E13_DKDL250003486-1A_22YL5KLT3_L6_1											26.262657611378803	15.51302893958291	51.0	150.0	150	27.27272727272727	18.637508
S1E13_DKDL250003486-1A_22YL5KLT3_L6_2											26.26151733017812	15.232702063533736	52.0	150.0	150	27.27272727272727	18.637508
S1E13_val_1												15.464871667262756	49.0	110.7892111169562	122	18.181818181818183	18.587318
S1E13_val_2												15.198812906433318	49.0	110.7567349415338	122	18.181818181818183	18.587318
S1S21	0.5796061	0.0	45.541925	99.59800976859029	97.43835299060673	18.789651902392475	45.725738	46.460221999999995	46.276409	99.6							
S1S21.filtered	0.4219768	0.0	35.767084	100.0	98.82599878704119	0.0	35.767084	35.767084	35.767084	100.0							
S1S21_DKDL250003486-1A_22YL5KLT3_L6_1											33.493543303055425	14.475123233331487	52.0	150.0	150	27.27272727272727	23.126763
S1S21_DKDL250003486-1A_22YL5KLT3_L6_2											33.445651977609955	14.107541808328648	53.0	150.0	150	27.27272727272727	23.126763
S1S21_val_1												14.22600685289784	48.0	100.70806791571084	102	18.181818181818183	22.862869
S1S21_val_2												13.95792154535205	48.0	100.74317602047232	102	18.181818181818183	22.862869
S1S22	0.6003859	0.0	40.438855	99.48551689478705	97.40595240373803	18.920341482142952	40.647982	41.286787	41.07766	99.49							
S1S22.filtered	0.43483439999999995	0.0	31.689163999999998	100.0	98.96747670591752	0.0	31.689163999999998	31.689163999999998	31.689163999999998	100.0							
S1S22_DKDL250003486-1A_22YL5KLT3_L6_1											33.76275458391662	14.684925236214397	51.0	150.0	150	27.27272727272727	20.618267
S1S22_DKDL250003486-1A_22YL5KLT3_L6_2											33.69260507361425	14.318205038567598	53.0	150.0	150	27.27272727272727	20.618267
S1S22_val_1												14.284892509315867	48.0	100.5615809906627	102	18.181818181818183	20.323991
S1S22_val_2												14.028383563910452	48.0	100.61044253070177	102	18.181818181818183	20.323991
S1S23	0.6386157	0.0	39.479707	99.58141946245006	97.12214624472351	18.254718751532327	39.645655999999995	40.271305	40.105356	99.59							
S1S23.filtered	0.4468603	0.0	31.165809999999997	100.0	98.77505189180066	0.0	31.165809999999997	31.165809999999997	31.165809999999997	100.0							
S1S23_DKDL250003486-1A_22YL5KLT3_L6_1											28.823949184611863	15.085525028401022	51.0	150.0	150	27.27272727272727	19.964765999999997
S1S23_DKDL250003486-1A_22YL5KLT3_L6_2											28.77283476968041	14.763258607557333	52.0	150.0	150	27.27272727272727	19.964765999999997
S1S23_val_1												14.953921427470618	48.0	107.36592036716456	117	18.181818181818183	19.822827999999998
S1S23_val_2												14.676469653737371	48.0	107.38636048801916	117	18.181818181818183	19.822827999999998
