Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
S1E11	45369193	0	0	0	625581	0	0	0	45198695	0	99.62	nan	44743612	0	22371806	0	22371806	0	43689704	0	97.64	nan	44531860	0	41254	0	0.09	nan	696402	0	345907	0	45369193
S1E11.filtered	34965545	0	0	0	0	0	0	0	34965545	0	100.0	nan	34965545	0	17534880	0	17430665	0	34640619	0	99.07	nan	34940439	0	25106	0	0.07	nan	246465	0	246465	0	34965545
S1E12	31494697	0	0	0	489501	0	0	0	31369969	0	99.6	nan	31005196	0	15502598	0	15502598	0	30137018	0	97.2	nan	30851074	0	29394	0	0.09	nan	588338	0	291894	0	31494697
S1E12.filtered	24158875	0	0	0	0	0	0	0	24158875	0	100.0	nan	24158875	0	12116964	0	12041911	0	23881741	0	98.85	nan	24141412	0	17463	0	0.07	nan	213189	0	213189	0	24158875
S1E13	37943954	0	0	0	769318	0	0	0	37818237	0	99.67	nan	37174636	0	18587318	0	18587318	0	35950156	0	96.71	nan	37016380	0	32539	0	0.09	nan	866036	0	463718	0	37943954
S1E13.filtered	29033221	0	0	0	0	0	0	0	29033221	0	100.0	nan	29033221	0	14564755	0	14468466	0	28569063	0	98.4	nan	29012733	0	20488	0	0.07	nan	357309	0	357309	0	29033221
S1S21	46460222	0	0	0	734484	0	0	0	46276409	0	99.6	nan	45725738	0	22862869	0	22862869	0	44554406	0	97.44	nan	45503088	0	38837	0	0.08	nan	786858	0	424767	0	46460222
S1S21.filtered	35767084	0	0	0	0	0	0	0	35767084	0	100.0	nan	35767084	0	17932270	0	17834814	0	35347178	0	98.83	nan	35743898	0	23186	0	0.06	nan	330353	0	330353	0	35767084
S1S22	41286787	0	0	0	638805	0	0	0	41077660	0	99.49	nan	40647982	0	20323991	0	20323991	0	39593554	0	97.41	nan	40399230	0	39625	0	0.1	nan	658014	0	329933	0	41286787
S1S22.filtered	31689164	0	0	0	0	0	0	0	31689164	0	100.0	nan	31689164	0	15888620	0	15800544	0	31361966	0	98.97	nan	31666186	0	22978	0	0.07	nan	246546	0	246546	0	31689164
S1S23	40271305	0	0	0	625649	0	0	0	40105356	0	99.59	nan	39645656	0	19822828	0	19822828	0	38504712	0	97.12	nan	39444002	0	35705	0	0.09	nan	760808	0	389594	0	40271305
S1S23.filtered	31165810	0	0	0	0	0	0	0	31165810	0	100.0	nan	31165810	0	15634803	0	15531007	0	30784045	0	98.78	nan	31144452	0	21358	0	0.07	nan	284987	0	284987	0	31165810
