Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
S1E11	44743612.0	0.0	44743612.0	1.0	22371806.0	22371806.0	44573114.0	44531860.0	170498.0	43689704.0	44743612.0	0.0	8457587.0	0.0	0.0	625581.0	4654964707.0	2326352207.0	2328612500.0	4641454618.0	4572140248.0	0.0	0.0	27648813.0	0.006047236	104.0	104.0	104.0	150.0	150.0	150.0	39.1	117.6	65.6	14091062.0	7800371.0	26296.0	348201.0	97.6	99.61894448753937	99.52674361649659	0.38105551246063907	97.6445620885502	100.0	0.0	18.902334035973674	0.0
S1E11.filtered	34965545.0	0.0	34965545.0	1.0	17534880.0	17430665.0	34965545.0	34940439.0	0.0	34640619.0	34965545.0	0.0	0.0	0.0	0.0	0.0	3749907237.0	1881714497.0	1868192740.0	3749907237.0	3704431103.0	0.0	0.0	16031480.0	0.00432765	107.0	107.0	107.0	150.0	150.0	150.0	39.2	122.5	65.0	11368973.0	5969476.0	7951.0	123232.0	99.1	100.0	99.92819788737741	0.0	99.07072519533158	100.0	0.0	0.0	0.0
S1E12	31005196.0	0.0	31005196.0	1.0	15502598.0	15502598.0	30880468.0	30851074.0	124728.0	30137018.0	31005196.0	0.0	5860429.0	0.0	0.0	489501.0	3276226228.0	1637639636.0	1638586592.0	3266278208.0	3211543797.0	0.0	0.0	21517941.0	0.006700186	105.0	106.0	106.0	150.0	150.0	150.0	39.0	122.9	71.6	9913838.0	5195417.0	22113.0	294169.0	97.2	99.59771904038278	99.502915575828	0.4022809596172203	97.19989514015651	100.0	0.0	18.901441551925682	0.0
S1E12.filtered	24158875.0	0.0	24158875.0	1.0	12116964.0	12041911.0	24158875.0	24141412.0	0.0	23881741.0	24158875.0	0.0	0.0	0.0	0.0	0.0	2629026464.0	1319635453.0	1309391011.0	2629026464.0	2594008680.0	0.0	0.0	12107145.0	0.00466735	109.0	109.0	109.0	150.0	150.0	150.0	39.2	127.9	70.9	7995344.0	3961155.0	7034.0	106594.0	98.9	100.0	99.92771600498781	0.0	98.85286876975853	100.0	0.0	0.0	0.0
S1E13	37174636.0	0.0	37174636.0	1.0	18587318.0	18587318.0	37048919.0	37016380.0	125717.0	35950156.0	37174636.0	0.0	6962504.0	0.0	0.0	769318.0	4121106802.0	2060528032.0	2060578770.0	4110037994.0	4042641584.0	0.0	0.0	28189155.0	0.006972955	110.0	111.0	111.0	150.0	150.0	150.0	39.1	129.2	70.8	12037480.0	6005082.0	32610.0	433018.0	96.7	99.66182049502784	99.57429038444384	0.3381795049721536	96.70614125179328	100.0	0.0	18.729178679785864	0.0
S1E13.filtered	29033221.0	0.0	29033221.0	1.0	14564755.0	14468466.0	29033221.0	29012733.0	0.0	28569063.0	29033221.0	0.0	0.0	0.0	0.0	0.0	3288923461.0	1651330426.0	1637593035.0	3288923461.0	3239779920.0	0.0	0.0	15302402.0	0.004723284	113.0	113.0	113.0	150.0	150.0	150.0	39.2	133.4	69.7	9717139.0	4596223.0	13635.0	178654.0	98.4	100.0	99.9294325627873	0.0	98.40128658132696	100.0	0.0	0.0	0.0
S1S21	45725738.0	0.0	45725738.0	1.0	22862869.0	22862869.0	45541925.0	45503088.0	183813.0	44554406.0	45725738.0	0.0	8591707.0	0.0	0.0	734484.0	4608863426.0	2303737823.0	2305125603.0	4595631112.0	4518454246.0	0.0	0.0	26189235.0	0.005796061	100.0	101.0	101.0	150.0	150.0	150.0	39.1	112.3	64.3	14041974.0	8288258.0	27883.0	393429.0	97.4	99.59800976859029	99.51307510881509	0.401990231409715	97.43835299060673	100.0	0.0	18.789651902392475	0.0
S1S21.filtered	35767084.0	0.0	35767084.0	1.0	17932270.0	17834814.0	35767084.0	35743898.0	0.0	35347178.0	35767084.0	0.0	0.0	0.0	0.0	0.0	3723550846.0	1868471762.0	1855079084.0	3723550846.0	3668974435.0	0.0	0.0	15482220.0	0.004219768	104.0	104.0	104.0	150.0	150.0	150.0	39.3	117.2	63.8	11328871.0	6369367.0	8008.0	165176.0	98.8	100.0	99.93517503411796	0.0	98.82599878704119	100.0	0.0	0.0	0.0
S1S22	40647982.0	0.0	40647982.0	1.0	20323991.0	20323991.0	40438855.0	40399230.0	209127.0	39593554.0	40647982.0	0.0	7690737.0	0.0	0.0	638805.0	4091286383.0	2044863715.0	2046422668.0	4074435798.0	4001506377.0	0.0	0.0	24024478.0	0.006003859	100.0	101.0	101.0	150.0	150.0	150.0	39.1	111.0	62.2	12452409.0	7391513.0	26686.0	329007.0	97.4	99.48551689478705	99.38803358060923	0.5144831052129476	97.40595240373803	100.0	0.0	18.920341482142952	0.0
S1S22.filtered	31689164.0	0.0	31689164.0	1.0	15888620.0	15800544.0	31689164.0	31666186.0	0.0	31361966.0	31689164.0	0.0	0.0	0.0	0.0	0.0	3290852254.0	1651359325.0	1639492929.0	3290852254.0	3241604418.0	0.0	0.0	14095611.0	0.004348344	104.0	104.0	104.0	150.0	150.0	150.0	39.2	115.7	61.7	10020270.0	5682437.0	6609.0	123273.0	99.0	100.0	99.92748940931354	0.0	98.96747670591752	100.0	0.0	0.0	0.0
S1S23	39645656.0	0.0	39645656.0	1.0	19822828.0	19822828.0	39479707.0	39444002.0	165949.0	38504712.0	39645656.0	0.0	7237203.0	0.0	0.0	625649.0	4260429084.0	2129672142.0	2130756942.0	4246341986.0	4178160322.0	0.0	0.0	26682389.0	0.006386157	107.0	107.0	107.0	150.0	150.0	150.0	39.1	127.3	74.7	12856204.0	6449873.0	35520.0	380404.0	97.1	99.58141946245006	99.49135915420342	0.4185805375499399	97.12214624472351	100.0	0.0	18.254718751532327	0.0
