Sample	Total Reads	Total Passed QC	Mapped	Supplementary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
S1E11	45.369192999999996	45.369192999999996	45.198695	0.6255809999999999	0.0	44.743612	43.689704	44.531859999999995	0.041254	0.696402	0.34590699999999996
S1E11.filtered	34.965545	34.965545	34.965545	0.0	0.0	34.965545	34.640619	34.940439	0.025106	0.246465	0.246465
S1E12	31.494697	31.494697	31.369968999999998	0.48950099999999996	0.0	31.005195999999998	30.137017999999998	30.851073999999997	0.029394	0.588338	0.291894
S1E12.filtered	24.158875	24.158875	24.158875	0.0	0.0	24.158875	23.881740999999998	24.141412	0.017463	0.213189	0.213189
S1E13	37.943954	37.943954	37.818236999999996	0.769318	0.0	37.174636	35.950156	37.01638	0.032539	0.8660359999999999	0.46371799999999996
S1E13.filtered	29.033220999999998	29.033220999999998	29.033220999999998	0.0	0.0	29.033220999999998	28.569063	29.012732999999997	0.020488	0.357309	0.357309
S1S21	46.460221999999995	46.460221999999995	46.276409	0.7344839999999999	0.0	45.725738	44.554406	45.503088	0.038836999999999997	0.786858	0.424767
S1S21.filtered	35.767084	35.767084	35.767084	0.0	0.0	35.767084	35.347178	35.743898	0.023186	0.330353	0.330353
S1S22	41.286787	41.286787	41.07766	0.638805	0.0	40.647982	39.593554	40.399229999999996	0.039625	0.658014	0.329933
S1S22.filtered	31.689163999999998	31.689163999999998	31.689163999999998	0.0	0.0	31.689163999999998	31.361966	31.666186	0.022978	0.246546	0.246546
S1S23	40.271305	40.271305	40.105356	0.625649	0.0	39.645655999999995	38.504712	39.444002	0.035705	0.7608079999999999	0.389594
S1S23.filtered	31.165809999999997	31.165809999999997	31.165809999999997	0.0	0.0	31.165809999999997	30.784045	31.144451999999998	0.021358	0.284987	0.284987
