Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
S1E11	44.743612	44.531859999999995	43.689704	0.0	0.0	8.457587	4572.140248	0.0	0.0	0.348201	0.026296	14.091061999999999	7.800370999999999
S1E11.filtered	34.965545	34.940439	34.640619	0.0	0.0	0.0	3704.431103	0.0	0.0	0.123232	0.007951	11.368972999999999	5.969475999999999
S1E12	31.005195999999998	30.851073999999997	30.137017999999998	0.0	0.0	5.860429	3211.543797	0.0	0.0	0.294169	0.022113	9.913838	5.195417
S1E12.filtered	24.158875	24.141412	23.881740999999998	0.0	0.0	0.0	2594.00868	0.0	0.0	0.106594	0.0070339999999999995	7.995343999999999	3.9611549999999998
S1E13	37.174636	37.01638	35.950156	0.0	0.0	6.962504	4042.641584	0.0	0.0	0.43301799999999996	0.03261	12.037479999999999	6.005082
S1E13.filtered	29.033220999999998	29.012732999999997	28.569063	0.0	0.0	0.0	3239.77992	0.0	0.0	0.17865399999999998	0.013635	9.717139	4.596223
S1S21	45.725738	45.503088	44.554406	0.0	0.0	8.591707	4518.454246	0.0	0.0	0.393429	0.027882999999999998	14.041974	8.288257999999999
S1S21.filtered	35.767084	35.743898	35.347178	0.0	0.0	0.0	3668.9744349999996	0.0	0.0	0.165176	0.008008	11.328871	6.369367
S1S22	40.647982	40.399229999999996	39.593554	0.0	0.0	7.6907369999999995	4001.5063769999997	0.0	0.0	0.329007	0.026685999999999998	12.452409	7.391513
S1S22.filtered	31.689163999999998	31.666186	31.361966	0.0	0.0	0.0	3241.604418	0.0	0.0	0.123273	0.006608999999999999	10.02027	5.682437
S1S23	39.645655999999995	39.444002	38.504712	0.0	0.0	7.237203	4178.160322	0.0	0.0	0.38040399999999996	0.035519999999999996	12.856204	6.449872999999999
S1S23.filtered	31.165809999999997	31.144451999999998	30.784045	0.0	0.0	0.0	3397.85428	0.0	0.0	0.14249299999999998	0.015392999999999999	10.455014	4.958588
