task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fd/cb4c37	122798.hn01	FASTQC_RAW (S1S21)	CACHED	0	2026-05-12 12:18:07.533	2m 33s	2m 15s	197.0%	898.2 MB	3.8 GB	2.7 GB	4.2 MB
2	c8/3e17cb	122832.hn01	TRIMGALORE_PAIRED (S1S22)	CACHED	0	2026-05-12 13:33:11.694	9m 29s	9m 11s	380.4%	200.3 MB	1.1 GB	68 GB	67.1 GB
1	6c/f43592	122831.hn01	TRIMGALORE_PAIRED (S1S21)	CACHED	0	2026-05-12 13:33:11.121	10m 19s	10m 2s	388.9%	201.1 MB	1.1 GB	76.4 GB	75.5 GB
4	48/f1d916	122797.hn01	FASTQC_RAW (S1S22)	CACHED	0	2026-05-12 12:18:07.500	2m 23s	2m 3s	196.9%	902.8 MB	3.9 GB	2.4 GB	4.2 MB
10	7a/46fccf	122845.hn01	BWA_MEM_SORT (S1S21)	CACHED	0	2026-05-12 13:43:30.713	32m 30s	31m 28s	1037.7%	19.9 GB	21.2 GB	30.2 GB	18.7 GB
7	b7/125d33	122843.hn01	FASTQC_TRIM (S1S22)	CACHED	0	2026-05-12 13:42:40.665	2m 35s	1m 39s	195.6%	1.1 GB	3.9 GB	1.6 GB	4.1 MB
9	85/0d597a	122844.hn01	BWA_MEM_SORT (S1S22)	CACHED	0	2026-05-12 13:42:40.753	29m 45s	28m 25s	1047.2%	19.5 GB	21.6 GB	27.6 GB	16.8 GB
11	5a/4f6f14	122858.hn01	BAM_FILTER (S1S21)	CACHED	0	2026-05-12 14:32:50.709	1m 43s	1m 28s	174.6%	19.3 MB	482.3 MB	3.8 GB	1.6 GB
12	0c/7fd79c	122857.hn01	BAM_FILTER (S1S22)	CACHED	0	2026-05-12 14:32:50.676	1m 33s	1m 18s	174.1%	15.2 MB	482.3 MB	3.4 GB	1.5 GB
13	c2/ac8a76	122800.hn01	FASTQC_RAW (S1E11)	CACHED	0	2026-05-12 12:18:07.585	2m 33s	2m 15s	195.8%	897.7 MB	3.8 GB	2.7 GB	4.2 MB
6	32/4d4fd1	122799.hn01	FASTQC_RAW (S1S23)	CACHED	0	2026-05-12 12:18:07.556	2m 23s	2m 3s	192.7%	990.3 MB	3.9 GB	2.4 GB	4.2 MB
14	3c/abe6cd	122834.hn01	TRIMGALORE_PAIRED (S1E11)	CACHED	0	2026-05-12 13:33:11.762	11m 44s	11m 28s	346.4%	193.1 MB	1.1 GB	76.1 GB	75.2 GB
