Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
S1E11	('chr1', 1.1855247767633954)	('chr2', 1.050046928168982)	('chr3', 0.8785326642310006)	('chr4', 0.7310949625070922)	('chr5', 0.9392951235135069)	('chr6', 0.7241067305587445)	('chr7', 0.9402340384792461)	('chr8', 0.8316920750299948)	('chr9', 1.046276929283004)	('chr10', 1.0649311783163424)	('chr11', 0.9445792779446034)	('chr12', 0.9448927988914301)	('chr13', 0.9352326655047005)	('chr14', 0.7721540476167692)	('chr15', 0.8693067560345268)	('chr16', 1.4107066241750905)	('chr17', 2.023911675204297)	('chr18', 0.8801064468687481)	('chr19', 2.04967003458319)	('chr20', 1.6643749884604875)	('chr21', 1.2786702725770913)	('chr22', 1.3804353137824519)	('chrX', 0.4603719186699048)	('chrY', 0.4868537211550831)	('chrM', 277.6299422859386)	('ML143377.1', 32.30640096349961)	('ML143345.1', 26.131993270625376)	('GL000220.1', 82.84144740844732)	('KI270438.1', 92.10275550977022)	('KI270729.1', 17.43921818048113)	('KI270733.1', 77.741428605983)
S1E11.filtered	('chr1', 1.1923443000402805)	('chr2', 1.1176080617504902)	('chr3', 0.998609727885316)	('chr4', 0.753103524569096)	('chr5', 1.0078651437793285)	('chr6', 0.821195499945281)	('chr7', 1.024479149174737)	('chr8', 0.8919419531896611)	('chr9', 1.176965418505955)	('chr10', 1.1331854584792838)	('chr11', 1.070338315879596)	('chr12', 1.0748690975165485)	('chr13', 1.0866111536404581)	('chr14', 0.8592271203338188)	('chr15', 0.9253020253010921)	('chr16', 1.481827951154392)	('chr17', 2.1914784918828243)	('chr18', 0.91209368286753)	('chr19', 2.2053783778774942)	('chr20', 1.827905565319468)	('chr21', 0.5718092591362118)	('chr22', 1.504185572812872)	('chrX', 0.44476918205428556)	('chrY', 0.12995179526299505)	('chrM', 331.72994902560004)	('ML143377.1', 0.1105405552661327)	('ML143345.1', 0.03615744102491354)	('GL000220.1', 4.105249012572992)	('KI270438.1', 45.525608209104654)	('KI270729.1', 5.641124843602375)	('KI270733.1', 8.457503492146952)
S1E12	('chr1', 1.1797411612797408)	('chr2', 1.0521106514062164)	('chr3', 0.8733055205512)	('chr4', 0.7348280803932231)	('chr5', 0.949292860757627)	('chr6', 0.7198920848215966)	('chr7', 0.9348295867362687)	('chr8', 0.8221534140423334)	('chr9', 1.0431551833400199)	('chr10', 1.066459852471478)	('chr11', 0.9365428994249149)	('chr12', 0.9444923081371925)	('chr13', 0.9188625152977)	('chr14', 0.7671861692274712)	('chr15', 0.8646446808570617)	('chr16', 1.4079356015078992)	('chr17', 2.030477997180715)	('chr18', 0.8741233156741448)	('chr19', 2.0482449977367927)	('chr20', 1.676924224512893)	('chr21', 1.2675750158472665)	('chr22', 1.3789619877202173)	('chrX', 0.4563167952446097)	('chrY', 0.5333376667814422)	('chrM', 283.6517659310818)	('ML143377.1', 31.57057954129523)	('ML143345.1', 31.529196897130213)	('GL000220.1', 82.17154711823305)	('KI270438.1', 101.59554969164475)	('KI270729.1', 21.410840123058968)	('KI270733.1', 75.35090888984536)
S1E12.filtered	('chr1', 1.1953412739917517)	('chr2', 1.118640095713566)	('chr3', 0.9965457202303367)	('chr4', 0.7464342584797429)	('chr5', 1.012539829845947)	('chr6', 0.8189166834931018)	('chr7', 1.022210108503715)	('chr8', 0.8841448667005419)	('chr9', 1.1779229576053019)	('chr10', 1.1282912303812889)	('chr11', 1.0657805234813431)	('chr12', 1.079053866389391)	('chr13', 1.0704015493135226)	('chr14', 0.8566248756797923)	('chr15', 0.9220942637009799)	('chr16', 1.484937502549296)	('chr17', 2.203098806582653)	('chr18', 0.9125765637273326)	('chr19', 2.215099111760729)	('chr20', 1.8387376232296118)	('chr21', 0.5728579179482374)	('chr22', 1.5096335824193137)	('chrX', 0.4422455063952255)	('chrY', 0.13825587325128966)	('chrM', 341.1737041909201)	('ML143377.1', 0.11120421750590559)	('ML143345.1', 0.03914858430573378)	('GL000220.1', 4.457038877269691)	('KI270438.1', 52.655789072734855)	('KI270729.1', 6.796872624529364)	('KI270733.1', 8.32997257657432)
S1E13	('chr1', 1.1970134847104021)	('chr2', 1.0301195901885778)	('chr3', 0.8397312774169705)	('chr4', 0.718661836512337)	('chr5', 0.9295038947511787)	('chr6', 0.7016245060764643)	('chr7', 0.9285505233569177)	('chr8', 0.7987244666669877)	('chr9', 1.0486954669579254)	('chr10', 1.0750875095733936)	('chr11', 0.9161288994021882)	('chr12', 0.9379224883488548)	('chr13', 0.9048627174640486)	('chr14', 0.7570198446633796)	('chr15', 0.8598136701831128)	('chr16', 1.4609975805308892)	('chr17', 2.104540801640653)	('chr18', 0.8473722715228209)	('chr19', 2.147332228179032)	('chr20', 1.6914728053540595)	('chr21', 1.2954130521647347)	('chr22', 1.4238529170240137)	('chrX', 0.4386791746097732)	('chrY', 0.5764335305622743)	('chrM', 339.92174167765563)	('ML143377.1', 32.21265669165661)	('ML143345.1', 35.68744550183357)	('GL000220.1', 81.93478779548154)	('KI270438.1', 110.96993245404784)	('KI270729.1', 24.08990521368082)	('KI270733.1', 74.9840198585313)
S1E13.filtered	('chr1', 1.2003455045848292)	('chr2', 1.1043800882087325)	('chr3', 0.9656703043424122)	('chr4', 0.7226789336336972)	('chr5', 0.9840394584612266)	('chr6', 0.8011557984693314)	('chr7', 1.0218006898332141)	('chr8', 0.8586157324714031)	('chr9', 1.1975069680465475)	('chr10', 1.1318053209423153)	('chr11', 1.0498403873252193)	('chr12', 1.0791661960872891)	('chr13', 1.0556015136954788)	('chr14', 0.8516231044016306)	('chr15', 0.9269615934601635)	('chr16', 1.5534176988727129)	('chr17', 2.302299778576222)	('chr18', 0.8868523328089799)	('chr19', 2.351008609185014)	('chr20', 1.8559188639568696)	('chr21', 0.5917950109164962)	('chr22', 1.5771512520839042)	('chrX', 0.42187632137899467)	('chrY', 0.14239333824683323)	('chrM', 409.1666812417597)	('ML143377.1', 0.09646264321958851)	('ML143345.1', 0.04819916060668869)	('GL000220.1', 4.478811466640829)	('KI270438.1', 53.0411221978362)	('KI270729.1', 7.724688034687853)	('KI270733.1', 8.87638751917538)
S1S21	('chr1', 1.1920490470941338)	('chr2', 1.0459431470464833)	('chr3', 0.9387278215921778)	('chr4', 0.7330678998602461)	('chr5', 0.9368215659348781)	('chr6', 0.7210950030323796)	('chr7', 0.9201366355631663)	('chr8', 0.8181853846036615)	('chr9', 1.0012623936454255)	('chr10', 1.0474411718300156)	('chr11', 1.0892903551624196)	('chr12', 1.0726822299997218)	('chr13', 0.8864535682219086)	('chr14', 0.7635441820481308)	('chr15', 0.8561564602174149)	('chr16', 1.3641232212250385)	('chr17', 2.0030591097361174)	('chr18', 0.8650906615006304)	('chr19', 1.9019730753006479)	('chr20', 1.6567137103717975)	('chr21', 1.197641280282088)	('chr22', 1.3283052632279924)	('chrX', 0.4916706658045638)	('chrY', 0.48209058574560204)	('chrM', 292.0449109492609)	('ML143377.1', 28.924036186628893)	('ML143345.1', 23.706749178420814)	('GL000220.1', 74.19635437359065)	('KI270438.1', 87.29107163472926)	('KI270729.1', 16.936332645435254)	('KI270733.1', 68.29546845772754)
S1S21.filtered	('chr1', 1.2040053353668747)	('chr2', 1.107110365087613)	('chr3', 1.064581962554967)	('chr4', 0.7556370943286937)	('chr5', 1.0064810292488997)	('chr6', 0.8112191958539184)	('chr7', 0.9936585866725391)	('chr8', 0.8747124148458828)	('chr9', 1.1161408954359042)	('chr10', 1.1122520058676444)	('chr11', 1.228620294964649)	('chr12', 1.2216045819302885)	('chr13', 1.022160705172144)	('chr14', 0.8441596016785281)	('chr15', 0.9042006036924893)	('chr16', 1.4236965478400105)	('chr17', 2.137591338559032)	('chr18', 0.8941131827284846)	('chr19', 2.0294942424516726)	('chr20', 1.8151330525141083)	('chr21', 0.5554407816773669)	('chr22', 1.434073654101412)	('chrX', 0.4759413729344015)	('chrY', 0.1286943321288613)	('chrM', 348.1291727138364)	('ML143377.1', 0.09849708222122633)	('ML143345.1', 0.041822968637447056)	('GL000220.1', 3.693032276011492)	('KI270438.1', 43.20558965060588)	('KI270729.1', 6.217604084639404)	('KI270733.1', 7.103360027115067)
S1S22	('chr1', 1.1850135298007516)	('chr2', 1.0491633935454008)	('chr3', 0.9347136658951343)	('chr4', 0.7410755785765553)	('chr5', 0.9436150907163636)	('chr6', 0.7201577721882475)	('chr7', 0.9182159550073599)	('chr8', 0.8173489169693839)	('chr9', 0.9935989313138078)	('chr10', 1.0470612998051545)	('chr11', 1.080892861162992)	('chr12', 1.0724069211841696)	('chr13', 0.8868775070777567)	('chr14', 0.7618269061397787)	('chr15', 0.8476825811842921)	('chr16', 1.3510135496571698)	('chr17', 1.980276892415356)	('chr18', 0.8627192051393952)	('chr19', 1.8935858956375458)	('chr20', 1.646623535651191)	('chr21', 1.2446609841251959)	('chr22', 1.3132589893829716)	('chrX', 0.4919218650993987)	('chrY', 0.4978484967613984)	('chrM', 269.14350459197794)	('ML143377.1', 31.573214150036065)	('ML143345.1', 25.227151671149265)	('GL000220.1', 81.5867950556471)	('KI270438.1', 89.61642945497852)	('KI270729.1', 17.76784761974797)	('KI270733.1', 76.0750413265176)
S1S22.filtered	('chr1', 1.2011763880544741)	('chr2', 1.10891694801843)	('chr3', 1.0633130130018544)	('chr4', 0.764442482764544)	('chr5', 1.015490434999797)	('chr6', 0.81185059571359)	('chr7', 0.9962077681730566)	('chr8', 0.875398056613647)	('chr9', 1.1115807781802272)	('chr10', 1.1119690853310185)	('chr11', 1.2227873894614714)	('chr12', 1.2270303583371063)	('chr13', 1.0263494799991584)	('chr14', 0.8443301631076277)	('chr15', 0.8976513456872349)	('chr16', 1.415314953064201)	('chr17', 2.1191184902327667)	('chr18', 0.8997844242987647)	('chr19', 2.022862909918753)	('chr20', 1.8125446828022145)	('chr21', 0.5506277201580495)	('chr22', 1.4205595669105635)	('chrX', 0.47930562865797033)	('chrY', 0.13207441982353157)	('chrM', 319.66867922212987)	('ML143377.1', 0.10637337993646244)	('ML143345.1', 0.028018426247638336)	('GL000220.1', 3.8293133072219714)	('KI270438.1', 42.78741308748068)	('KI270729.1', 6.394502990942747)	('KI270733.1', 8.134747879006515)
