Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
S1E11	('chr1', 4052796)	('chr2', 3492143)	('chr3', 2392168)	('chr4', 1909582)	('chr5', 2341483)	('chr6', 1698347)	('chr7', 2057301)	('chr8', 1657549)	('chr9', 1988323)	('chr10', 1956546)	('chr11', 1752151)	('chr12', 1729231)	('chr13', 1468693)	('chr14', 1134974)	('chr15', 1217465)	('chr16', 1749966)	('chr17', 2313851)	('chr18', 971332)	('chr19', 1649806)	('chr20', 1472840)	('chr21', 820142)	('chr22', 963293)	('chrX', 986434)	('chrY', 382581)	('chrM', 63166)	('ML143377.1', 230453)	('ML143345.1', 122386)	('GL000220.1', 184057)	('KI270438.1', 142287)	('KI270729.1', 67252)	('KI270733.1', 191909)
S1E11.filtered	('chr1', 3153263)	('chr2', 2875327)	('chr3', 2103507)	('chr4', 1521716)	('chr5', 1943595)	('chr6', 1489995)	('chr7', 1734121)	('chr8', 1375165)	('chr9', 1730288)	('chr10', 1610586)	('chr11', 1535920)	('chr12', 1521740)	('chr13', 1320079)	('chr14', 977022)	('chr15', 1002493)	('chr16', 1422018)	('chr17', 1938186)	('chr18', 778729)	('chr19', 1373240)	('chr20', 1251332)	('chr21', 283724)	('chr22', 812004)	('chrX', 737239)	('chrY', 78999)	('chrM', 58387)	('ML143377.1', 610)	('ML143345.1', 131)	('GL000220.1', 7056)	('KI270438.1', 54408)	('KI270729.1', 16829)	('KI270733.1', 16151)
S1E12	('chr1', 2799104)	('chr2', 2428471)	('chr3', 1650396)	('chr4', 1332105)	('chr5', 1642394)	('chr6', 1171870)	('chr7', 1419654)	('chr8', 1137221)	('chr9', 1375870)	('chr10', 1359882)	('chr11', 1205727)	('chr12', 1199657)	('chr13', 1001498)	('chr14', 782656)	('chr15', 840445)	('chr16', 1212171)	('chr17', 1611129)	('chr18', 669566)	('chr19', 1144245)	('chr20', 1029926)	('chr21', 564277)	('chr22', 667856)	('chrX', 678600)	('chrY', 290881)	('chrM', 44791)	('ML143377.1', 156302)	('ML143345.1', 102485)	('GL000220.1', 126711)	('KI270438.1', 108932)	('KI270729.1', 57306)	('KI270733.1', 129098)
S1E12.filtered	('chr1', 2184172)	('chr2', 1988495)	('chr3', 1450380)	('chr4', 1042094)	('chr5', 1349124)	('chr6', 1026631)	('chr7', 1195509)	('chr8', 941842)	('chr9', 1196487)	('chr10', 1108002)	('chr11', 1056700)	('chr12', 1055515)	('chr13', 898481)	('chr14', 673013)	('chr15', 690255)	('chr16', 984582)	('chr17', 1346259)	('chr18', 538335)	('chr19', 953000)	('chr20', 869711)	('chr21', 196394)	('chr22', 563073)	('chrX', 506493)	('chrY', 58071)	('chrM', 41490)	('ML143377.1', 424)	('ML143345.1', 98)	('GL000220.1', 5293)	('KI270438.1', 43480)	('KI270729.1', 14010)	('KI270733.1', 10991)
S1E13	('chr1', 3423880)	('chr2', 2866463)	('chr3', 1913152)	('chr4', 1570596)	('chr5', 1938722)	('chr6', 1376905)	('chr7', 1699976)	('chr8', 1331914)	('chr9', 1667497)	('chr10', 1652676)	('chr11', 1421887)	('chr12', 1436193)	('chr13', 1188966)	('chr14', 931032)	('chr15', 1007542)	('chr16', 1516414)	('chr17', 2013152)	('chr18', 782496)	('chr19', 1446184)	('chr20', 1252405)	('chr21', 695207)	('chr22', 831348)	('chrX', 786469)	('chrY', 379009)	('chrM', 64710)	('ML143377.1', 192263)	('ML143345.1', 139846)	('GL000220.1', 152317)	('KI270438.1', 143441)	('KI270729.1', 77730)	('KI270733.1', 154877)
S1E13.filtered	('chr1', 2635844)	('chr2', 2359235)	('chr3', 1689009)	('chr4', 1212493)	('chr5', 1575690)	('chr6', 1207008)	('chr7', 1436142)	('chr8', 1099188)	('chr9', 1461799)	('chr10', 1335702)	('chr11', 1250909)	('chr12', 1268610)	('chr13', 1064831)	('chr14', 804079)	('chr15', 833901)	('chr16', 1237800)	('chr17', 1690733)	('chr18', 628714)	('chr19', 1215549)	('chr20', 1054952)	('chr21', 243821)	('chr22', 706944)	('chrX', 580649)	('chrY', 71876)	('chrM', 59798)	('ML143377.1', 442)	('ML143345.1', 145)	('GL000220.1', 6392)	('KI270438.1', 52635)	('KI270729.1', 19135)	('KI270733.1', 14075)
S1S21	('chr1', 4172266)	('chr2', 3561436)	('chr3', 2617021)	('chr4', 1960390)	('chr5', 2391000)	('chr6', 1731610)	('chr7', 2061332)	('chr8', 1669511)	('chr9', 1948148)	('chr10', 1970298)	('chr11', 2068762)	('chr12', 2009904)	('chr13', 1425283)	('chr14', 1149079)	('chr15', 1227638)	('chr16', 1732528)	('chr17', 2344614)	('chr18', 977525)	('chr19', 1567426)	('chr20', 1501017)	('chr21', 786486)	('chr22', 949017)	('chrX', 1078617)	('chrY', 387871)	('chrM', 68030)	('ML143377.1', 211245)	('ML143345.1', 113675)	('GL000220.1', 168780)	('KI270438.1', 138069)	('KI270729.1', 66870)	('KI270733.1', 172611)
S1S21.filtered	('chr1', 3257093)	('chr2', 2913613)	('chr3', 2293879)	('chr4', 1561836)	('chr5', 1985419)	('chr6', 1505635)	('chr7', 1720508)	('chr8', 1379516)	('chr9', 1678483)	('chr10', 1617072)	('chr11', 1803468)	('chr12', 1769126)	('chr13', 1270247)	('chr14', 981893)	('chr15', 1002088)	('chr16', 1397552)	('chr17', 1933865)	('chr18', 780877)	('chr19', 1292690)	('chr20', 1271073)	('chr21', 281920)	('chr22', 791902)	('chrX', 806994)	('chrY', 80028)	('chrM', 62678)	('ML143377.1', 556)	('ML143345.1', 155)	('GL000220.1', 6493)	('KI270438.1', 52819)	('KI270729.1', 18974)	('KI270733.1', 13876)
S1S22	('chr1', 3681690)	('chr2', 3171073)	('chr3', 2313088)	('chr4', 1759166)	('chr5', 2137783)	('chr6', 1535081)	('chr7', 1825940)	('chr8', 1480441)	('chr9', 1716055)	('chr10', 1748318)	('chr11', 1822198)	('chr12', 1783651)	('chr13', 1265770)	('chr14', 1017696)	('chr15', 1078938)	('chr16', 1523114)	('chr17', 2057546)	('chr18', 865330)	('chr19', 1385204)	('chr20', 1324276)	('chr21', 725540)	('chr22', 832861)	('chrX', 957933)	('chrY', 355551)	('chrM', 55652)	('ML143377.1', 204688)	('ML143345.1', 107376)	('GL000220.1', 164742)	('KI270438.1', 125823)	('KI270729.1', 62272)	('KI270733.1', 170673)
S1S22.filtered	('chr1', 2878961)	('chr2', 2585635)	('chr3', 2029924)	('chr4', 1399891)	('chr5', 1774801)	('chr6', 1335011)	('chr7', 1528258)	('chr8', 1223191)	('chr9', 1481038)	('chr10', 1432340)	('chr11', 1590263)	('chr12', 1574384)	('chr13', 1130034)	('chr14', 870120)	('chr15', 881406)	('chr16', 1230923)	('chr17', 1698572)	('chr18', 696235)	('chr19', 1141564)	('chr20', 1124548)	('chr21', 247613)	('chr22', 695003)	('chrX', 720040)	('chrY', 72766)	('chrM', 50992)	('ML143377.1', 532)	('ML143345.1', 92)	('GL000220.1', 5965)	('KI270438.1', 46344)	('KI270729.1', 17289)	('KI270733.1', 14079)
