Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
S1E11	('chr1', 0.0896662171330389)	('chr2', 0.07726203156971678)	('chr3', 0.05292559884748885)	('chr4', 0.042248609168915166)	('chr5', 0.05180421691378479)	('chr6', 0.037575133529850806)	('chr7', 0.04551682299677015)	('chr8', 0.036672496849743115)	('chr9', 0.043990716988621024)	('chr10', 0.04328766571689736)	('chr11', 0.03876552188066492)	('chr12', 0.03825842759398253)	('chr13', 0.03249414612523658)	('chr14', 0.025110769237917156)	('chr15', 0.026935844054789635)	('chr16', 0.0387171797769825)	('chr17', 0.05119287182959596)	('chr18', 0.021490266477826408)	('chr19', 0.03650118659399348)	('chr20', 0.03258589656183657)	('chr21', 0.018145258397393997)	('chr22', 0.021312407360433747)	('chrX', 0.021824391168815824)	('chrY', 0.008464425798134216)	('chrM', 0.0013975182248071544)	('ML143377.1', 0.005098664906143861)	('ML143345.1', 0.0027077330440624446)	('GL000220.1', 0.004072175092665839)	('KI270438.1', 0.0031480333668925616)	('KI270729.1', 0.0014879190649199053)	('KI270733.1', 0.004245896922466456)
S1E11.filtered	('chr1', 0.09018200631507388)	('chr2', 0.08223315266500207)	('chr3', 0.06015942265450174)	('chr4', 0.043520442767301354)	('chr5', 0.05558600616692804)	('chr6', 0.04261323540073521)	('chr7', 0.04959513715573431)	('chr8', 0.03932914530575742)	('chr9', 0.04948551495479336)	('chr10', 0.04606208769232683)	('chr11', 0.0439266712416466)	('chr12', 0.043521129157288986)	('chr13', 0.037753708686651385)	('chr14', 0.027942421603896064)	('chr15', 0.028670881577850423)	('chr16', 0.04066912155952381)	('chr17', 0.0554313110234661)	('chr18', 0.022271324528189106)	('chr19', 0.039274091108832995)	('chr20', 0.035787573166670215)	('chr21', 0.008114388035421726)	('chr22', 0.023222975646454244)	('chrX', 0.021084727837075042)	('chrY', 0.0022593384430301317)	('chrM', 0.0016698438419878768)	('ML143377.1', 1.7445745518910115e-05)	('ML143345.1', 3.746545349142992e-06)	('GL000220.1', 0.00020179865636299964)	('KI270438.1', 0.0015560461019555108)	('KI270729.1', 0.000481302379242194)	('KI270733.1', 0.00046191186209166765)
S1E12	('chr1', 0.08922877800739937)	('chr2', 0.07741387949729883)	('chr3', 0.052610699105249355)	('chr4', 0.042464339062623875)	('chr5', 0.05235561437755963)	('chr6', 0.03735642837262606)	('chr7', 0.045255192952214904)	('chr8', 0.03625190066333824)	('chr9', 0.04385946317001461)	('chr10', 0.04334980375658006)	('chr11', 0.038435709005641666)	('chr12', 0.0382422118427978)	('chr13', 0.03192537423291684)	('chr14', 0.02494921177639672)	('chr15', 0.026791387648486358)	('chr16', 0.038641128398947414)	('chr17', 0.05135896053961673)	('chr18', 0.021344171554648333)	('chr19', 0.036475809077146364)	('chr20', 0.03283159125850586)	('chr21', 0.017987808658656946)	('chr22', 0.02128966082178787)	('chrX', 0.021632153987783665)	('chrY', 0.009272594435780284)	('chrM', 0.0014278305471070118)	('ML143377.1', 0.0049825360044187484)	('ML143345.1', 0.0032669780451488493)	('GL000220.1', 0.004039245304960295)	('KI270438.1', 0.003472493071319261)	('KI270729.1', 0.001826778980878177)	('KI270733.1', 0.004115337187614052)
S1E12.filtered	('chr1', 0.09040868003994391)	('chr2', 0.0823090893098292)	('chr3', 0.06003508027588205)	('chr4', 0.043135038365817946)	('chr5', 0.05584382550925902)	('chr6', 0.04249498372751215)	('chr7', 0.04948529267194768)	('chr8', 0.03898534182572657)	('chr9', 0.049525774689425726)	('chr10', 0.04586314553140409)	('chr11', 0.043739619498010564)	('chr12', 0.04369056920075955)	('chr13', 0.03719051487289868)	('chr14', 0.027857795530627977)	('chr15', 0.028571487703794154)	('chr16', 0.04075446393923558)	('chr17', 0.055725235550082526)	('chr18', 0.02228311541824692)	('chr19', 0.03944720108034832)	('chr20', 0.035999648162424784)	('chr21', 0.008129269264400763)	('chr22', 0.023307086940099652)	('chrX', 0.02096509046882357)	('chrY', 0.00240371292123495)	('chrM', 0.0017173812936239787)	('ML143377.1', 1.755048610500282e-05)	('ML143345.1', 4.056480278986501e-06)	('GL000220.1', 0.00021909132772117906)	('KI270438.1', 0.0017997526788809495)	('KI270729.1', 0.0005799111092714375)	('KI270733.1', 0.00045494668108510847)
S1E13	('chr1', 0.09053515635855791)	('chr2', 0.07579578603836028)	('chr3', 0.05058808003133514)	('chr4', 0.04153012209426896)	('chr5', 0.051264208852464486)	('chr6', 0.03640849254818515)	('chr7', 0.044951222871653165)	('chr8', 0.035218828418680646)	('chr9', 0.044092404413246446)	('chr10', 0.043700503542774875)	('chr11', 0.03759791869726767)	('chr12', 0.03797620179914785)	('chr13', 0.03143895893401905)	('chr14', 0.02461859869353508)	('chr15', 0.026641696703101205)	('chr16', 0.04009742706937925)	('chr17', 0.0532323069422829)	('chr18', 0.020690969809089726)	('chr19', 0.038240386509820645)	('chr20', 0.0331164300440552)	('chr21', 0.01838285058079254)	('chr22', 0.02198272753962592)	('chrX', 0.02079602494426168)	('chrY', 0.010021857972913967)	('chrM', 0.0017110792340742907)	('ML143377.1', 0.005083869985795478)	('ML143345.1', 0.003697845565883994)	('GL000220.1', 0.004027607103948288)	('KI270438.1', 0.0037929055233325657)	('KI270729.1', 0.002055357577879688)	('KI270733.1', 0.004095299312868551)
S1E13.filtered	('chr1', 0.09078717101350897)	('chr2', 0.08125984368045144)	('chr3', 0.05817504712963126)	('chr4', 0.04176226261633182)	('chr5', 0.05427196658613938)	('chr6', 0.04157334110466076)	('chr7', 0.04946547267352803)	('chr8', 0.03785966427906845)	('chr9', 0.05034918447388252)	('chr10', 0.04600598741696624)	('chr11', 0.04308543650737202)	('chr12', 0.043695117396722875)	('chr13', 0.03667629575099504)	('chr14', 0.02769513585833277)	('chr15', 0.028722304011669943)	('chr16', 0.04263391926097349)	('chr17', 0.058234427382342455)	('chr18', 0.021654986196674494)	('chr19', 0.04186752134735584)	('chr20', 0.03633603037017491)	('chr21', 0.008398000345879638)	('chr22', 0.024349485715002134)	('chrX', 0.019999468884282594)	('chrY', 0.002475646777186727)	('chrM', 0.002059640575187989)	('ML143377.1', 1.52239395002022e-05)	('ML143345.1', 4.994278795315201e-06)	('GL000220.1', 0.00022016158661830872)	('KI270438.1', 0.001812923202699418)	('KI270729.1', 0.0006590725844714233)	('KI270733.1', 0.0004847894761659411)
S1S21	('chr1', 0.09015967509492796)	('chr2', 0.07696007700165326)	('chr3', 0.05655194637077393)	('chr4', 0.042362621524932934)	('chr5', 0.05166779470723409)	('chr6', 0.03741884985068742)	('chr7', 0.04454390572959108)	('chr8', 0.03607693501023383)	('chr9', 0.042098080687289284)	('chr10', 0.0425767262969778)	('chr11', 0.04470446269934212)	('chr12', 0.04343258354380955)	('chr13', 0.030799343138314818)	('chr14', 0.024830772845835986)	('chr15', 0.02652837647795878)	('chr16', 0.037438687172118304)	('chr17', 0.050665426524344186)	('chr18', 0.02112361397791259)	('chr19', 0.033870951395558804)	('chr20', 0.032435900547080045)	('chr21', 0.016995398238441536)	('chr22', 0.020507576549424998)	('chrX', 0.023308139574961403)	('chrY', 0.008381614053069676)	('chrM', 0.0014700794955805668)	('ML143377.1', 0.004564852903776523)	('ML143345.1', 0.002456435200060575)	('GL000220.1', 0.003647214717978657)	('KI270438.1', 0.0029835720399134687)	('KI270729.1', 0.0014450127277594075)	('KI270733.1', 0.003729999879636296)
S1S21.filtered	('chr1', 0.09106397938394978)	('chr2', 0.08146073635748444)	('chr3', 0.06413379966899174)	('chr4', 0.04366685302050343)	('chr5', 0.05550966916956384)	('chr6', 0.04209554796247857)	('chr7', 0.048103110670134584)	('chr8', 0.038569428807783156)	('chr9', 0.046928147679022425)	('chr10', 0.04521117796463363)	('chr11', 0.050422561705058204)	('chr12', 0.04946240515441516)	('chr13', 0.03551441319622254)	('chr14', 0.027452419660490075)	('chr15', 0.028017044945570627)	('chr16', 0.0390736913302745)	('chr17', 0.05406828803824209)	('chr18', 0.021832280204894534)	('chr19', 0.03614188956527739)	('chr20', 0.03553750705536968)	('chr21', 0.00788210747065654)	('chr22', 0.022140524511307658)	('chrX', 0.022562476717419847)	('chrY', 0.0022374762225514386)	('chrM', 0.001752393345792461)	('ML143377.1', 1.5545018990085967e-05)	('ML143345.1', 4.333593423495189e-06)	('GL000220.1', 0.0001815356264435759)	('KI270438.1', 0.0014767488453909187)	('KI270729.1', 0.0005304877523703078)	('KI270733.1', 0.00038795446673818866)
S1S22	('chr1', 0.08962754937842127)	('chr2', 0.0771970214466939)	('chr3', 0.056310120878355775)	('chr4', 0.042825370286428195)	('chr5', 0.052042472721182266)	('chr6', 0.03737021534332773)	('chr7', 0.04445092539351073)	('chr8', 0.036040051940641214)	('chr9', 0.041775870387943226)	('chr10', 0.04256128513649512)	('chr11', 0.04435982964949805)	('chr12', 0.04342143637198419)	('chr13', 0.030814072661393077)	('chr14', 0.024774926322482828)	('chr15', 0.02626580968828312)	('chr16', 0.03707888910906804)	('chr17', 0.05008917255754101)	('chr18', 0.02106570822193864)	('chr19', 0.03372158978870753)	('chr20', 0.03223835048052883)	('chr21', 0.017662641932378816)	('chr22', 0.020275278582080867)	('chrX', 0.02332004792872817)	('chrY', 0.008655580673290543)	('chrM', 0.001354799664829983)	('ML143377.1', 0.0049829518039732545)	('ML143345.1', 0.002613975576992458)	('GL000220.1', 0.004010501085017988)	('KI270438.1', 0.0030630517901944756)	('KI270729.1', 0.0015159578223297042)	('KI270733.1', 0.004154886135188811)
S1S22.filtered	('chr1', 0.09085001421937164)	('chr2', 0.08159366400451587)	('chr3', 0.06405735411637871)	('chr4', 0.044175699933264256)	('chr5', 0.05600655795148146)	('chr6', 0.04212831237832591)	('chr7', 0.04822651679924406)	('chr8', 0.038599661385828925)	('chr9', 0.04673641753376643)	('chr10', 0.04519967771948796)	('chr11', 0.05018317933537155)	('chr12', 0.04968209322278114)	('chr13', 0.03565994988065952)	('chr14', 0.02745796638876305)	('chr15', 0.02781411336695408)	('chr16', 0.03884365646250561)	('chr17', 0.05360103535707032)	('chr18', 0.021970759468441643)	('chr19', 0.036023796651751365)	('chr20', 0.03548683076650429)	('chr21', 0.007813806637499178)	('chr22', 0.021931881825598177)	('chrX', 0.02272196262419545)	('chrY', 0.0022962423369704546)	('chrM', 0.0016091304901574557)	('ML143377.1', 1.6788073046041857e-05)	('ML143345.1', 2.9032006019470883e-06)	('GL000220.1', 0.00018823469120233022)	('KI270438.1', 0.0014624557467025636)	('KI270729.1', 0.0005455808174680784)	('KI270733.1', 0.0004442843616827506)
